scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
53	5	19.12	19.6	Yep.	Monica	medium	short_turn_alternation	0.7	dialogue	True	False	Chandler | Monica	Chandler	Monica	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	chandler|monica	present			medium	
53	14	38.37	39.25	Could you not look?	Monica	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Chandler	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	(Scoots towards the side of the bed.) Could you not look?	Monica	Monica	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
54	16	55.48	55.88	Hello?	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe		Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hello?	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
54	39	89.73	91.37	Okay, hold on, hold on.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	hold on hold on	Joey	Joey	present	char_tracker_stage05	phoebe	absent	0.3333		low	speaker_offscreen
55	52	134.14	134.86	Pardon me?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Passenger	Passenger	Passenger	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Ehh, pardon me?	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
55	67	171.72	172.28	By the.	Passenger	medium	short_turn_alternation	0.7	dialogue	True	False	Rachel | Passenger	Rachel	Passenger	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				absent	char_tracker_stage05		unobserved			medium	
57	71	191.14	191.62	Hey.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Chandler		Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hey.	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
57	72	191.94	192.42	Hey.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Joey | Chandler	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hey.	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
57	73	192.58	193.66	Have you seen Monica?	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Chandler	Chandler	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Have you seen Monica?	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
57	78	201.68	202.16	Look, we.	Joey	medium	short_turn_alternation	0.7	dialogue	True	False	Joey | Chandler	Chandler	Joey	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	chandler|joey	present			medium	
57	86	208.52	208.8	No.	Chandler	medium	short_turn_alternation	0.7	dialogue	True	False	Joey | Chandler	Joey	Chandler	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	chandler|joey	present			medium	
58	96	241.02	241.5	Psst.	Joey	medium	short_turn_alternation	0.7	dialogue	True	False	Mrs. Geller | Mrs. Waltham | Monica | Joey | Ross	Monica	Joey	True	short_utterance_between_two_speakers | speaker_no_face	Short utterance inferred from local turn alternation.				absent	char_tracker_stage05		absent			medium	speaker_no_face
58	97	241.5	241.98	Rick.	Joey	high	scene_context_bridge	0.88	dialogue	True	False	Mrs. Geller | Mrs. Waltham | Monica | Joey | Ross	Joey	Joey	True	speaker_no_face	Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
58	105	260.03	264.67	Okay, I do.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Mrs. Geller | Mrs. Waltham | Monica | Joey | Ross	Monica	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Okay. (They both walk off to watch for Rachel.)	Joey	Joey	partial	char_tracker_stage05		absent	0.4		medium	speaker_no_face
61	122	307.29	307.73	Nothing.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Mrs. Geller | Mr. Waltham | Mr. Geller | Emily | Ross	Emily	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	nothing	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
61	123	307.73	308.09	Nothing.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Mrs. Geller | Mr. Waltham | Mr. Geller | Emily | Ross	Ross	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Nothing, nothing	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
