scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
10	1	1.68	3.28	We are two healthy people.	Monica	I’m with you Chandler! I mean I can’t have sex with a sick person either, that’s disgusting! But I’m not sick! Let me prove it to you. We are two healthy people in the pribe of libe.	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
10	2	3.68	5.76	And the bribe of live.				present	char_tracker_stage05	monica	unknown			low	missing_speaker
10	3	7.92	8.88	See, that's the thing.	Chandler	that's the thing see pribe of mwha ah libe	Chandler	absent	char_tracker_stage05		absent	0.0000		low	speaker_no_face
10	4	8.88	11.08	I would like to stay in the pring mob.	Chandler	That’s the thing, see I would like to stay in the pribe of mwha-ah-libe.	Chandler	present	char_tracker_stage05	chandler	present	0.7500		medium	
10	5	11.08	11.44	Live.				present	char_tracker_stage05	chandler	unknown			low	missing_speaker
11	6	18.96	20.64	Oh, okay, Now I'll do it.	Chandler	(sarcastically) Oh, okay, now I'll do it.	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
12	7	24.88	25.36	Hey.	Rachel	Hey!	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
12	8	26.33	26.49	Hey.	Phoebe	Hey.	Phoebe	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
12	9	26.49	26.97	What's up?	Rachel	What’s up?!	Rachel	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
12	10	27.29	30.73	Um, I think there's something you should maybe know.	Phoebe	Umm, I think there’s something you should maybe know.	Phoebe	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
12	11	30.81	37.05	Well, it better not be about the apartment pants because I just pitched the idea to my boss at Ralph Lauren and she loved it.	Rachel	Well, it’d better not be about the apartment pants, because I just pitched the idea to my boss at Ralph Lauren and she loved it.	Rachel	present	char_tracker_stage05	rachel	present	0.8750		high	
12	12	38.81	40.65	No, no, it's just, I was.	Phoebe	no no it's just i was umm	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		low	low_speaker_confidence
12	13	41.29	46.97	I was with Ross and Jill after you left and I'm pretty sure I saw a little spark between them.	Phoebe	No. No. It’s just I was umm, I was with Ross and Jill after you left and umm, I’m pretty sure I saw a little spark between them.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
12	14	47.61	48.01	What?	Rachel	What?!	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0000		high	
12	15	48.49	50.01	Yeah, I mean, it's probably nothing.	Phoebe	yeah i mean it's probably nothing	Phoebe	present	char_tracker_stage05	rachel	partial	0.3333		low	partial_visual_presence
12	16	50.25	53.53	But I just wanted to warn you that there might be something there.	Phoebe	Yeah I mean it’s probably nothing, but I just wanted to warn you that there might be something there.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
12	17	53.93	55.05	With Ross and Jill?	Rachel	With Ross and Jill?	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0000		high	
12	18	55.13	55.61	Yeah.	Phoebe	Yeah!	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0000		high	
12	19	56.33	57.61	With Ross and my sister?	Rachel	With Ross and my sister?	Rachel	present	char_tracker_stage05	rachel	present	1.0000		high	
12	20	60.33	61.05	Yeah.	Phoebe	Yeah.	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0000		high	
12	21	61.21	63.45	With my sister Jill and my ex boyfriend, Ross?	Rachel	With my sister Jill and my ex-boyfriend Ross?	Rachel	present	char_tracker_stage05	rachel	present	1.0000		high	
12	22	65.29	65.77	Yeah.	Phoebe	Yeah.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
12	23	66.25	67.77	Oh, there is no way.	Rachel	Oh there is no way.	Rachel	present	char_tracker_stage05	phoebe	absent	0.0000		low	speaker_offscreen
12	24	68.09	68.97	Okay, then.	Phoebe	Okay then.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
12	25	68.97	71.77	Oh, my God, I cannot believe that.	Rachel	I can not believe that	Rachel	present	char_tracker_stage05	rachel	present	0.7500		medium	
12	26	72.33	75.53	I mean, I don't really like it when Ross goes out with anyone but my sister.	Rachel	Oh my God! I can not believe that! I mean I don’t really like it when Ross goes out with anyone, but my sister isn’t that like incest or something?! Oh my God, and they’re gonna have sex! Oh! Oh no what if he marries her too?! Oh this is just terrible, this is just terrible. And I can’t stop it! I can’t—I don’t own Ross! Y’know? And Jill, she should be able to do whatever it is that she wants to do! And oh my God, I can’t believe Ross is marrying my little sister, this terrible. Oh my God, this is just the worst thing that could have ever happened to me.	Rachel	present	char_tracker_stage05	rachel	present	0.5000		medium	
12	27	75.53	77.45	Isn't that like incest or something?				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	28	78.73	79.45	Oh, my God.				present	char_tracker_stage05	phoebe|rachel	unknown			low	missing_speaker
12	29	79.45	80.49	And they're gonna have sex.				present	char_tracker_stage05	phoebe|rachel	unknown			low	missing_speaker
12	30	81.5	82.14	Oh, no.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	31	82.14	83.58	And what if he marries her too?				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	32	84.38	85.62	Oh, this is just terrible.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	33	85.62	86.7	This is just terrible.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	34	87.02	88.06	And I can't stop it.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	35	88.3	89.46	I don't own Ross.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	36	89.46	92.82	You know, And Jill, she should be able to do whatever it is that she wants to do.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	37	92.82	93.18	And.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	38	93.26	94.06	Oh, my God.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	39	94.06	95.98	I can't believe Ross is marrying my little sister.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	40	95.98	96.62	This is just.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
12	41	97.18	97.9	Oh, my God.				absent	char_tracker_stage05		unknown			low	missing_speaker
12	42	97.9	100.46	This is just the worst thing that could have ever happened to me.				partial	char_tracker_stage05		unknown			low	missing_speaker
12	43	102.06	104.62	But great news about the apartment pants, huh?	Phoebe	But great news about the apartment pants, huh?	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
13	44	107.34	108.7	That'll be 385.	Joey	That’ll be $3.85.	Joey	present	char_tracker_stage05	joey|rachel	present	1.0000		high	
13	45	109.18	109.98	What do you mean?	Woman	What do you mean	Woman	present	char_tracker_stage05	joey	unobserved			medium	
13	46	110.44	112.6	Yesterday you said I was too pretty to pay for stuff.	Woman	What do you mean? Yesterday you said I was too pretty to pay for stuff!	Woman	present	char_tracker_stage05	joey	unobserved			high	
13	47	112.6	115.24	It's just, I can't because my manager said that I.	Joey	"It’s just I can’t because my manager said I… (Gets an idea) (Starts singing) ""Happy birthday to you, happy birthday to you. Happy birthday dear Annie…"	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
13	48	117.56	126.679	Happy birthday to you Happy birthday to you Happy birthday, dear Annie Amy.	Joey	"""Happy birthday to you, happy birthday to you"	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
13	49	126.68	131.48	Amy Happy birthday to you hey.	Joey	"(still singing) ""…Amy! Happy birthday to you!"""	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
13	50	131.96	132.44	Hey.	A Male Customer	hey	A Male Customer	present	char_tracker_stage05	joey	unobserved			low	low_speaker_confidence
13	51	132.52	133.28	That's weird.	A Male Customer	hey that's weird	A Male Customer	present	char_tracker_stage05	joey	unobserved			low	low_speaker_confidence
13	52	133.28	134.52	Today's my birthday too.	A Male Customer	Hey, that’s weird, today’s my birthday too!	A Male Customer	present	char_tracker_stage05	joey	unobserved			high	
13	53	134.52	135.64	Yeah, not in here it is.	Joey	Yeah, not it here it isn’t.	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
13	54	139.88	140.76	Sorry I'm late.	Jill	(entering) Sorry I’m late, what’s up?	Jill	absent	char_tracker_stage05		unobserved			high	
13	55	141.0	141.64	What's up?	Jill	what's up	Jill	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
13	56	142.07	148.31	Oh, hey, you know, I just wanted to see if there were any leads on the old job front.	Rachel	(on the couch) Oh hi! Y’know, I just wanted to see if there were any leads on the old job front.	Rachel	present	char_tracker_stage05	rachel	present	1.0000		high	
13	57	148.87	151.71	No, but I just walked past three sales and I didn't go in.	Jill	Oh no! But I just walked past three sales and I didn’t go in. How strong am I?	Jill	partial	char_tracker_stage05		unobserved			high	
13	58	151.71	152.55	How strong am I?	Jill	How strong am I	Jill	present	char_tracker_stage05	rachel	unobserved			medium	
13	59	152.55	155.43	Oh, that is great.	Rachel	That is great	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
13	60	156.07	158.47	Hey, you know who doesn't have to job hunt?	Rachel	Hey, y'know who doesn't have to job hunt	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
13	61	158.71	159.19	Ross.	Rachel	Ross	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
13	62	159.59	160.63	He works at the university.	Rachel	That is great. Hey, y’know who doesn’t have to job hunt? Ross. He works at the university.	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
13	63	161.75	162.23	Yeah.	Jill	Yeah.	Jill	present	char_tracker_stage05	rachel	unobserved			high	
13	64	162.23	163.07	Oh, so you know that.	Rachel	oh so you know that	Rachel	present	char_tracker_stage05	rachel	present	1.0000		low	low_speaker_confidence
13	65	163.07	163.87	You guys talked about that.	Rachel	oh so you know that you guys talked about that	Rachel	present	char_tracker_stage05	rachel	present	1.0000		low	low_speaker_confidence
