scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
16	1	0.24	0.64	Careful.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler		Joey	False		Speaker agrees with available community-transcript mapping.	You guys promised you'd be more careful	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
16	2	0.64	1.4	I mean, come on.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Joey	False		Speaker agrees with available community-transcript mapping.	I mean, come on	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
16	3	1.4	3.84	The good Joey name is being dragged through the mud here.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Monica	False		Speaker agrees with available community-transcript mapping.	You guys promised you'd be more careful! I mean, come on! The good Joey name is being dragged through the mud here!	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
16	4	6.0	6.92	We're so sorry.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	We're so sorry.	Monica	Monica	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
16	5	6.92	8.88	Yeah, well, I'm telling everyone about you.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Monica	Joey	False		Speaker agrees with available community-transcript mapping.	Well, I'm telling everyone about you	Joey	Joey	present	char_tracker_stage05	joey	present	0.6667		high	
16	6	8.88	13.36	It's the only way to explain the underwear and the video camera that doesn't make me look like a pig.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Chandler	False		Speaker agrees with available community-transcript mapping.	Well, I'm telling everyone about you! That's the only way to explain the underwear and the video camera that doesn't make me look like a pig!	Joey	Joey	present	char_tracker_stage05	chandler|joey|monica	present	1.0		high	
16	7	14.0	14.64	No, no, wait.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Chandler	False		Speaker agrees with available community-transcript mapping.	No-no, wait	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
16	8	14.64	16.199	There's gotta be a better explanation.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Chandler	Chandler	False		Speaker agrees with available community-transcript mapping.	There's got to be a better explanation	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
16	9	16.199	21.2	You could tell them that you had to make an adult film for your adult film class.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Chandler	Joey	False		Speaker agrees with available community-transcript mapping.	No-no, wait! There's got to be a better explanation. You can tell them you had to make an adult film for your (Thinks) adult film class.	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
16	10	23.2	24.0	Yeah, I like that.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Chandler	Joey	False		Speaker agrees with available community-transcript mapping.	yeah i like that	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
16	11	24.0	24.96	But no, no.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Joey	False		Speaker agrees with available community-transcript mapping.	yeah i like that but no no	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
16	12	25.12	28.56	How does that explain why Rachel found my underwear at your place?	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Chandler	False		Speaker agrees with available community-transcript mapping.	Yeah, I like that. But no-no, how does that explain why Rachel found my underwear at your place?	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
16	13	30.16	30.72	I don't know.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Joey	Joey	False		Speaker agrees with available community-transcript mapping.	Oh—I don't know.	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
16	14	31.76	34.4	Well, get ready to come out of the non gay closet.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Monica | Chandler	Chandler	Monica	False		Speaker agrees with available community-transcript mapping.	Well, get ready to come out of the non-gay closet!	Joey	Joey	present	char_tracker_stage05	chandler|joey|monica	present	1.0		high	
