scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
53	1	7.84	8.96	Oh, fresh air.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler		Chandler	False		Speaker agrees with available community-transcript mapping.	Oh fresh air!	Chandler	Chandler	present	char_tracker_stage05	chandler	present	1.0		high	
53	2	11.36	12.64	You're going to cover me?	Chandler	medium	scene_context_inference	0.68	dialogue	True	False	Chandler	Chandler		True	medium_confidence_context_fill	Filled from previous same-scene context.				present	char_tracker_stage05	chandler	present			medium	
54	3	12.64	14.32	Wait, maybe, maybe you're overreacting.	Phoebe	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Phoebe | Rachel		Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	(To Rachel) Wait! Maybe, maybe you’re overreacting! You do that y’know.	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
54	4	14.32	17.52	You do that, you know, Phoebe, we gotta do something.	Rachel	medium	name_address_rule	0.74	dialogue	True	False	Phoebe | Rachel	Phoebe	Rachel	True	speaker_no_face	Utterance names the previous speaker, so the next speaker is more likely.				absent	char_tracker_stage05		absent			medium	speaker_no_face
54	5	18.4	20.68	You know, I mean there's no way Joey's gonna make it in time.	Rachel	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Phoebe | Rachel	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	Well Phoebe, we gotta do something! (They turn the corner.) Well, y’know. I mean there’s no way Joey’s gonna make it in time. So I’m gonna through the hotel and see if there’s any other weddings going on.	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
54	6	20.68	23.28	So I'm go through the hotel and see if there's any other weddings going on.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	So I'm gonna through the hotel and see if there's any other weddings going on	Rachel	Rachel	present	char_tracker_stage05	phoebe|rachel	present	0.5		high	
54	7	23.36	23.92	Okay.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel	Rachel	Phoebe	False		Speaker agrees with available community-transcript mapping.	Okay.	Rachel	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
54	8	24.08	26.96	Oh, but don't tell them Monica's pregnant cause they frown on that.	Phoebe	medium	visual_disambiguation	0.74	dialogue	True	False	Phoebe | Rachel	Rachel	Phoebe	False		Only one of the two text-context candidates was visually present in the window.				present	char_tracker_stage05	phoebe	present			medium	
54	9	27.6	28.08	Okay.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Rachel	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	Okay.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	0.5		high	
54	10	28.08	28.32	Bye.	Phoebe	high	qa_review_resolved_bridge	0.9	dialogue	True	False	Phoebe | Rachel	Phoebe	Phoebe	True	speaker_no_face	Filled from previous same-scene context. | QA resolved prior review by same-speaker bridge.				absent	char_tracker_stage05		absent			medium	speaker_no_face
54	11	28.32	28.64	Bye.	Phoebe	high	qa_review_resolved_bridge	0.9	dialogue	True	False	Phoebe | Rachel	Phoebe	Phoebe	True	speaker_no_face	Filled from previous same-scene context. | QA resolved prior review by same-speaker bridge.				absent	char_tracker_stage05		absent			medium	speaker_no_face
54	12	39.29	42.13	Anastasakis Papa Sifakis wedding.	Phoebe	high	qa_review_resolved_bridge	0.9	dialogue	True	False	Phoebe | Rachel	Phoebe	Phoebe	True	speaker_offscreen	Filled from previous same-scene context. | QA resolved prior review by same-speaker bridge.				present	char_tracker_stage05	rachel	absent			low	speaker_offscreen
54	13	42.13	42.65	Excellent.	Phoebe	medium	scene_context_inference	0.68	dialogue	True	False	Phoebe | Rachel	Phoebe		True	scene_end_short_utterance | speaker_offscreen	Filled from previous same-scene context.				present	char_tracker_stage05	rachel	absent			low	speaker_offscreen
56	14	45.69	46.73	Congratulations.	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | The Priest		Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	} Congratulations	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
56	15	47.77	48.73	Mazel tov.	Rachel	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Rachel | The Priest	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	Mazel Tov	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
56	16	50.09	50.57	Hi.	Rachel	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Rachel | The Priest	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	Hi	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
56	17	50.73	51.85	Oh, great hat.	Rachel	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Rachel | The Priest	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	Oh, great hat	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
56	18	53.53	56.33	Listen, I need you to perform another wedding.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | The Priest	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Anastassakis/Papasifakis wedding, excellent! {It’s a good thing Jennifer Aniston is Greek, because she had to pronounce those names. Luckily for me, they were written on a sign.}(The happy couple emerges.) Congratulations. (To the best man and maid of honor) Mazel Tov! (The Priest emerges.) Hi! Oh, great hat. (He’s wearing an interesting hat and she takes him over to talk.) Listen umm, I need you to perform another wedding. Can you do that?	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
56	19	56.33	57.05	Can you do that?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | The Priest	Rachel	The Priest	False		Speaker agrees with available community-transcript mapping.	Can you do that	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
56	20	57.69	58.33	I don't know.	The Priest	high	community_transcript_match	1.0	dialogue	False	True	Rachel | The Priest	Rachel	The Priest	False		Speaker agrees with available community-transcript mapping.	I don't know	The Priest	The Priest	present	char_tracker_stage05	rachel	unobserved			high	
56	21	58.65	60.09	Are they Greek orthodox?	The Priest	high	community_transcript_match	1.0	dialogue	False	True	Rachel | The Priest	The Priest	Rachel	False		Speaker agrees with available community-transcript mapping.	I don’t know. Are they Greek Orthodox?	The Priest	The Priest	partial	char_tracker_stage05		unobserved			high	
56	22	60.41	63.37	Yeah, yeah, they're my friends.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | The Priest	The Priest	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah! Yeah. They’re…they’re-they’re my friends, uh, Monica Stephanopolus and uh, and Chandler Acidophilis (this is the correct way to spell the last name).	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
56	23	63.77	71.13	Monica Stephanopoulos and Chandler Acidopoulos.	Rachel	medium	scene_context_inference	0.68	dialogue	True	False	Rachel | The Priest	Rachel		True	medium_confidence_context_fill	Filled from previous same-scene context.				present	char_tracker_stage05	rachel	present			medium	
57	24	75.61	76.09	Hi.	Ross	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing		Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Hi	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
57	25	77.05	77.53	Hi.	Ross	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	Hi	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
57	26	79.85	80.33	Hi.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	Hi	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	27	84.41	86.29	Has anyone seen Chandler?	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Mr. Geller	False		Speaker agrees with available community-transcript mapping.	Hi! (To Mrs. Bing) Hi! (Mr. Bing starts rubbing his arm.) Hi. Has umm, anyone seen Chandler?	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	28	86.29	87.37	I thought he was with you.	Mr. Geller	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	I thought he was with you.	Mr. Geller	Mr. Geller	present	char_tracker_stage05	ross	unobserved			high	
57	29	87.69	88.81	He was with me.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Mr. Geller	Ross	False		Speaker agrees with available community-transcript mapping.	he he was with me umm y'know hide and seek	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	30	89.19	90.67	Um, we're playing a little game.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	He-he was with me umm, we’re playing a little game, y’know? Hide and seek.	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	31	90.67	92.39	You know, hide and seek.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Mr. Geller	False		Speaker agrees with available community-transcript mapping.	Hide and seek	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	32	92.39	93.79	You can't ask us, son.	Mr. Geller	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Mr. Geller	False		Speaker agrees with available community-transcript mapping.	You can’t ask us son, that’s cheating.	Mr. Geller	Mr. Geller	present	char_tracker_stage05	ross	unobserved			high	
57	33	93.79	94.47	That's cheating.	Mr. Geller	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Mr. Geller	Ross	False		Speaker agrees with available community-transcript mapping.	that's cheating	Mr. Geller	Mr. Geller	absent	char_tracker_stage05		unobserved			high	
57	34	100.39	101.03	You're right.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Mr. Geller	Ross	False		Speaker agrees with available community-transcript mapping.	you're right	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	35	101.03	103.03	Thanks for keeping me honest, dad.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Mrs. Geller	False		Speaker agrees with available community-transcript mapping.	(pause) You’re right, thanks for keeping me honest dad.	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
57	36	104.23	105.91	Well, he better not come by here.	Mrs. Geller	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Ross	Mrs. Geller	False		Speaker agrees with available community-transcript mapping.	Well, he better not come by here	Mrs. Geller	Mrs. Geller	present	char_tracker_stage05	ross	unobserved			high	
57	37	105.91	107.83	He can't see the bride in the wedding dress.	Mrs. Geller	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Mrs. Geller	Mrs. Bing	False		Speaker agrees with available community-transcript mapping.	Well, he better not come by here. He can’t see the bride in the wedding dress.	Mrs. Geller	Mrs. Geller	absent	char_tracker_stage05		unobserved			high	
57	38	107.99	111.99	As I recall, when we got married, I saw the groom in the wedding dress.	Mrs. Bing	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Mrs. Geller	Mr. Bing	False		Speaker agrees with available community-transcript mapping.	As I recall when we got married, I saw the groom in the wedding dress.	Mrs. Bing	Mrs. Bing	absent	char_tracker_stage05		unobserved			high	
57	39	113.43	115.03	But that was after the wedding.	Mr. Bing	high	community_transcript_match	1.0	dialogue	False	True	Ross | Mr. Geller | Mrs. Geller | Mrs. Bing | Mr. Bing	Mrs. Bing	Mr. Bing	False		Speaker agrees with available community-transcript mapping.	But that was after the wedding, it’s not bad luck then.	Mr. Bing	Mr. Bing	absent	char_tracker_stage05		unobserved			high	
