scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
35	1	0.56	1.84	Tell anyone about this.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe		Phoebe	False		Speaker agrees with available community-transcript mapping.	Okay Phoebe, we can not tell anyone about this.	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
35	2	2.16	2.52	Right.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	False		Speaker agrees with available community-transcript mapping.	Right.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
35	3	2.52	2.96	Okay.	Phoebe	medium	visual_disambiguation	0.74	dialogue	True	False	Rachel | Phoebe	Phoebe	Phoebe	False		Only one of the two text-context candidates was visually present in the window.				present	char_tracker_stage05	phoebe	present			medium	
35	4	2.96	3.32	Yeah.	Phoebe	medium	visual_disambiguation	0.74	dialogue	True	False	Rachel | Phoebe	Phoebe	Rachel	False		Only one of the two text-context candidates was visually present in the window.				present	char_tracker_stage05	phoebe	present			medium	
35	5	3.32	3.92	Okay.	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Okay?	Rachel	Rachel	present	char_tracker_stage05	phoebe	absent	0.0		low	speaker_offscreen
35	6	4.56	5.52	Hey, wait.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	False		Speaker agrees with available community-transcript mapping.	Hey, wait	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
35	7	5.52	7.6	Do you know what kind of birth control she was using?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah, okay. Hey, wait. Do you know what kind of birth control she was using?	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
35	8	8.32	8.68	No.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Rachel	False		Speaker agrees with available community-transcript mapping.	No	Rachel	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
35	9	8.68	9.04	Why?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	False		Speaker agrees with available community-transcript mapping.	No. Why?	Rachel	Rachel	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
35	10	9.44	10.32	Just for the future.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	False		Speaker agrees with available community-transcript mapping.	just for the future	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
35	11	10.48	12.16	This is hardly a commercial for it.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe		False		Speaker agrees with available community-transcript mapping.	Just for the future, this is hardly a commercial for it.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel	present	1.0		high	
36	12	19.44	20.0	Anything?	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Ross | Phoebe		Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Anything?	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
36	13	20.48	20.88	No.	Ross	medium	short_turn_alternation	0.7	dialogue	True	False	Rachel | Ross | Phoebe	Rachel	Ross	True	short_utterance_between_two_speakers | speaker_no_face	Short utterance inferred from local turn alternation.				absent	char_tracker_stage05		absent			medium	speaker_no_face
36	14	20.88	22.48	I talked to Joey on the set.	Ross	high	qa_review_resolved_bridge	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Ross	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review by same-speaker bridge.	i talked to joey on the set	Ross	Ross	partial	char_tracker_stage05		absent	0.3333		medium	speaker_no_face
36	15	22.48	23.76	He hasn't heard from him.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	I talked to Joey on the set, he hasn't heard from him	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
36	16	24.08	26.16	I talked to Chandler's parents again.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Ross	Phoebe	False		Speaker agrees with available community-transcript mapping.	No! I talked to Joey on the set, he hasn’t heard from him. I-I-I talked to Chandler’s parents again!	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
36	17	26.71	27.91	You told them he was missing?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	You told them he was missing?	Phoebe	Phoebe	present	char_tracker_stage05	phoebe|rachel|ross	present	1.0		high	
36	18	28.07	30.63	No, I made it seem like I was just calling to chat.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Phoebe	Ross	False		Speaker agrees with available community-transcript mapping.	No! I made it seem like I was just calling to chat. Pretty sure, they both think I’m interested in them.	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
36	19	31.11	33.27	Pretty sure they both think I'm interested in that.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Ross	Rachel	False		Speaker agrees with available community-transcript mapping.	Pretty sure, they both think I'm interested in them	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
36	20	34.39	35.95	All right, we've got to tell her that he's gone.	Rachel	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Rachel | Ross | Phoebe	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	All right, we’ve got to tell her he’s gone. (Starts to leave.)	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
