episode	season	gold_n_scenes	gold_n_segments	pred_n_scenes	gold_n_scenes_win	gold_n_segments_win	pred_n_scenes_win
s01e01a	1	11	22	19	9	20	19
s01e01b	1	11	27	16	11	27	16
s01e02a	1	7	16	13	7	16	13
s01e02b	1	9	15	14	9	15	14
s01e03a	1	13	22	23	13	22	23
s01e03b	1	15	20	17	15	20	17
s01e04a	1	12	19	14	12	19	14
s01e04b	1	16	23	17	16	23	17
s01e05a	1	13	22	18	13	22	18
s01e05b	1	12	20	27	12	20	27
s01e06a	1	11	28	11	10	27	11
s01e06b	1	11	18	15	11	18	15
s01e07a	1	10	20	20	10	20	20
s01e07b	1	12	21	27	12	21	27
s01e08a	1	18	28	20	18	27	20
s01e08b	1	12	29	16	12	29	16
s01e09a	1	16	25	14	16	24	14
s01e09b	1	13	21	19	13	21	19
s01e10a	1	11	23	14	10	22	14
s01e10b	1	12	32	19	12	32	19
s01e11a	1	11	29	22	11	29	22
s01e11b	1	11	25	17	11	25	17
s01e12a	1	12	30	25	11	29	25
s01e12b	1	8	21	15	8	21	15
s01e13a	1	12	29	15	12	27	15
s01e13b	1	12	18	13	12	18	13
s01e14a	1	13	29	22	13	29	22
s01e14b	1	8	14	19	8	14	19
s01e15a	1	14	22	14	14	22	14
s01e15b	1	10	21	16	10	21	16
s01e16a	1	14	24	28	14	23	28
s01e16b	1	14	26	32	14	26	32
s01e17a	1	8	16	27	8	16	27
s01e17b	1	13	22	46	13	22	46
s01e18a	1	12	19	19	12	19	19
s01e18b	1	8	14	33	8	14	33
s01e19a	1	12	22	13	12	22	13
s01e19b	1	9	24	22	9	24	22
s01e20a	1	12	21	21	12	21	21
s01e20b	1	7	17	11	7	17	11
s01e21a	1	16	19	20	16	19	20
s01e21b	1	14	20	11	14	20	11
s01e22a	1	11	14	22	11	14	22
s01e22b	1	12	26	25	12	26	25
s01e23a	1	17	29	30	17	29	30
s01e23b	1	10	20	25	10	20	25
s01e24a	1	12	19	24	12	19	24
s01e24b	1	14	24	24	14	24	24
s02e01a	2	11	20	11	11	20	11
s02e01b	2	9	20	12	9	20	12
s02e02a	2	14	25	10	13	24	10
s02e02b	2	10	14	8	9	13	8
s02e03a	2	8	20	13	8	19	13
s02e03b	2	7	17	12	7	17	12
s02e04a	2	12	20	17	12	20	17
s02e04b	2	8	12	9	8	12	9
s02e05a	2	11	20	9	11	20	9
s02e05b	2	12	18	15	12	18	15
s02e06a	2	13	23	15	13	23	15
s02e06b	2	11	18	16	11	18	16
s02e07a	2	13	22	12	13	22	12
s02e07b	2	8	16	13	8	16	13
s02e08a	2	10	20	20	9	19	20
s02e08b	2	9	28	23	9	28	23
s02e09a	2	8	16	17	8	16	17
s02e09b	2	10	16	13	10	16	13
s02e10a	2	10	19	14	9	18	14
s02e10b	2	8	22	26	8	22	26
s02e11a	2	13	18	8	13	18	8
s02e11b	2	8	23	13	8	23	13
s02e12a	2	13	22	16	13	22	16
s02e12b	2	12	19	14	12	19	14
s02e13a	2	9	18	16	9	18	16
s02e13b	2	15	22	16	15	22	16
s02e14a	2	10	18	8	10	17	8
s02e14b	2	7	21	10	7	21	10
s02e15a	2	12	20	13	12	20	13
s02e15b	2	10	16	15	10	16	15
s02e16a	2	14	26	13	13	25	13
s02e16b	2	9	19	11	9	19	11
s02e17a	2	14	23	17	13	22	17
s02e17b	2	11	20	12	11	20	12
s02e18a	2	13	23	15	13	23	15
s02e18b	2	9	20	13	9	20	13
s02e19a	2	14	20	12	14	20	12
s02e19b	2	13	20	8	13	20	8
s02e20a	2	11	18	11	10	17	10
s02e20b	2	8	20	7	8	20	7
s02e21a	2	10	18	12	10	18	12
