scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
38	7	11.04	12.64	Would you stop that?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler	Chandler	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Would you stop that	Phoebe	Phoebe	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
38	17	30.43	30.99	Okay.	Phoebe	medium	short_turn_alternation	0.7	dialogue	True	False	Phoebe | Chandler	Chandler	Phoebe	True	short_utterance_between_two_speakers | speaker_no_face	Short utterance inferred from local turn alternation.				absent	char_tracker_stage05		absent			medium	speaker_no_face
38	18	30.99	31.31	Good.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Phoebe | Chandler	Phoebe	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Good	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
38	20	43.63	62.57	It's not unusual to be loved by anyone it's not unusual how amus you see me cry?	Phoebe	medium	scene_context_inference	0.68	dialogue	True	False	Phoebe | Chandler	Phoebe		True	medium_confidence_context_fill | speaker_offscreen	Filled from previous same-scene context.				present	char_tracker_stage05	chandler	absent			low	speaker_offscreen
43	30	118.39	118.87	Hey.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe | Ross	Rachel	Rachel	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	(sees Ross and Rachel) Hey!	Phoebe	Phoebe	present	char_tracker_stage05	rachel|ross	absent	0.0		low	speaker_offscreen
43	31	119.51	119.99	Hi.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe | Ross	Phoebe	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hi! (Hugs Phoebe)	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
43	38	134.75	135.87	Pancho Villa?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe | Ross	Phoebe	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Pancho Vila?	Rachel	Rachel	present	char_tracker_stage05	phoebe|ross	absent	0.0		low	speaker_offscreen
43	42	138.99	139.43	Phoebe?	Ross	medium	short_turn_alternation	0.7	dialogue	True	False	Rachel | Phoebe | Ross	Rachel	Ross	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	rachel|ross	present			medium	
43	47	149.71	150.11	Oh.	Phoebe	medium	short_turn_alternation	0.7	reaction	True	False	Rachel | Phoebe | Ross	Ross	Phoebe	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	phoebe|ross	present			medium	
43	53	164.57	165.05	Oh.	Ross	medium	scene_context_inference	0.68	reaction	True	False	Rachel | Phoebe | Ross	Ross		True	scene_end_short_utterance | speaker_offscreen	Filled from previous same-scene context.				present	char_tracker_stage05	phoebe	absent			low	speaker_offscreen
44	54	165.45	165.85	What?	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey		Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	What?	Ross	Ross	present	char_tracker_stage05	phoebe	absent	0.0		low	speaker_offscreen
44	66	192.07	192.55	Oh.	Phoebe	medium	short_turn_alternation	0.7	reaction	True	False	Ross | Phoebe | Rachel | Joey	Ross	Phoebe	True	short_utterance_between_two_speakers | speaker_no_face	Short utterance inferred from local turn alternation.				absent	char_tracker_stage05		absent			medium	speaker_no_face
44	67	192.63	193.11	Mm.	Phoebe	high	scene_context_bridge	0.88	dialogue	True	False	Ross | Phoebe | Rachel | Joey	Phoebe	Phoebe	True	speaker_no_face	Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
44	68	193.19	194.35	How do you know about this?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Phoebe	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	How do you know about this?	Phoebe	Phoebe	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
44	74	209.75	211.35	Okay, it won't.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	(returning with her purse covering her face) All right, it won't come off!	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
44	76	213.09	214.21	It won't come off.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	It won't come off!	Rachel	Rachel	present	char_tracker_stage05	phoebe|ross	absent	0.0		low	speaker_offscreen
44	83	224.61	225.65	Just give me your pin.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Just give me your pen.	Rachel	Rachel	present	char_tracker_stage05	phoebe|ross	absent	0.0		low	speaker_offscreen
44	87	227.29	229.41	Well, I believe I'm going to stab you repeatedly.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Ross	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Well I believe I'm going to stab you repeatedly.	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
44	90	235.01	236.37	Hey, you made it.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Phoebe	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	(entering) Hey-hey-hey you made it!	Joey	Joey	present	char_tracker_stage05	rachel	absent	0.0		low	speaker_offscreen
44	91	236.37	237.01	Joey.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Phoebe | Rachel | Joey	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Joey!!	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
44	92	237.09	237.65	Ross.	Joey	medium	name_address_rule	0.74	dialogue	True	False	Ross | Phoebe | Rachel | Joey	Ross	Joey	True	speaker_no_face	Utterance names the previous speaker, so the next speaker is more likely.				absent	char_tracker_stage05		absent			medium	speaker_no_face
45	112	280.61	282.05	All right, baby, come on.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler		Monica	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	All right baby, come on! (Rolls the dice) Yes! Yes! I am on fire!	Monica	Monica	partial	char_tracker_stage05		absent	0.3333		medium	speaker_no_face
45	117	287.17	288.29	But Chandler, what are you doing?	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler	Chandler	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Wait Chandler, what are you doing?!	Monica	Monica	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
45	121	292.85	293.49	Chandler.	Monica	medium	name_address_rule	0.74	dialogue	True	False	Monica | Chandler	Chandler	Monica	True	speaker_offscreen	Utterance names the previous speaker, so the next speaker is more likely.				present	char_tracker_stage05	chandler	absent			low	speaker_offscreen
45	122	294.85	295.89	Chandler, wait.	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Monica | Chandler	Monica	Monica	True	speaker_offscreen	Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler	absent			low	speaker_offscreen
45	123	296.13	296.81	I'm sorry.	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Monica | Chandler	Monica	Monica	True	speaker_offscreen	Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler	absent			low	speaker_offscreen
45	124	296.81	298.29	I was just playing for one second.	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Monica | Chandler	Monica	Monica	True	speaker_offscreen	Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler	absent			low	speaker_offscreen
45	128	304.37	305.21	Oh, come on.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler	Monica	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Come on	Chandler	Chandler	present	char_tracker_stage05	monica	absent	0.0		low	speaker_offscreen
