episode	season	gold_n_scenes	gold_n_segments	pred_n_scenes	gold_n_scenes_win	gold_n_segments_win	pred_n_scenes_win
s01e01a	1	11	22	20	9	20	20
s01e01b	1	11	27	18	11	27	18
s01e02a	1	7	16	14	7	16	14
s01e02b	1	9	15	16	9	15	16
s01e03a	1	13	22	23	13	22	23
s01e03b	1	15	20	19	15	20	19
s01e04a	1	12	19	15	12	19	15
s01e04b	1	16	23	18	16	23	18
s01e05a	1	13	22	20	13	22	20
s01e05b	1	12	20	28	12	20	28
s01e06a	1	11	28	16	10	27	16
s01e06b	1	11	18	20	11	18	20
s01e07a	1	10	20	20	10	20	20
s01e07b	1	12	21	27	12	21	27
s01e08a	1	18	28	20	18	27	20
s01e08b	1	12	29	18	12	29	18
s01e09a	1	16	25	15	16	24	15
s01e09b	1	13	21	20	13	21	20
s01e10a	1	11	23	16	10	22	16
s01e10b	1	12	32	20	12	32	20
s01e11a	1	11	29	22	11	29	22
s01e11b	1	11	25	17	11	25	17
s01e12a	1	12	30	25	11	29	25
s01e12b	1	8	21	15	8	21	15
s01e13a	1	12	29	16	12	27	16
s01e13b	1	12	18	16	12	18	16
s01e14a	1	13	29	22	13	29	22
s01e14b	1	8	14	21	8	14	21
s01e15a	1	14	22	15	14	22	15
s01e15b	1	10	21	18	10	21	18
s01e16a	1	14	24	29	14	23	29
s01e16b	1	14	26	32	14	26	32
s01e17a	1	8	16	28	8	16	28
s01e17b	1	13	22	46	13	22	46
s01e18a	1	12	19	20	12	19	20
s01e18b	1	8	14	34	8	14	34
s01e19a	1	12	22	14	12	22	14
s01e19b	1	9	24	24	9	24	24
s01e20a	1	12	21	23	12	21	23
s01e20b	1	7	17	16	7	17	16
s01e21a	1	16	19	20	16	19	20
s01e21b	1	14	20	12	14	20	12
s01e22a	1	11	14	23	11	14	23
s01e22b	1	12	26	26	12	26	26
s01e23a	1	17	29	30	17	29	30
s01e23b	1	10	20	26	10	20	26
s01e24a	1	12	19	25	12	19	25
s01e24b	1	14	24	25	14	24	25
s02e01a	2	11	20	13	11	20	13
s02e01b	2	9	20	13	9	20	13
s02e02a	2	14	25	12	13	24	12
s02e02b	2	10	14	9	9	13	9
s02e03a	2	8	20	15	8	19	15
s02e03b	2	7	17	14	7	17	14
s02e04a	2	12	20	17	12	20	17
s02e04b	2	8	12	11	8	12	11
s02e05a	2	11	20	12	11	20	12
s02e05b	2	12	18	18	12	18	18
s02e06a	2	13	23	18	13	23	18
s02e06b	2	11	18	18	11	18	18
s02e07a	2	13	22	13	13	22	13
s02e07b	2	8	16	13	8	16	13
s02e08a	2	10	20	21	9	19	21
s02e08b	2	9	28	23	9	28	23
s02e09a	2	8	16	18	8	16	18
s02e09b	2	10	16	15	10	16	15
s02e10a	2	10	19	16	9	18	16
s02e10b	2	8	22	27	8	22	27
s02e11a	2	13	18	13	13	18	13
s02e11b	2	8	23	14	8	23	14
s02e12a	2	13	22	18	13	22	18
s02e12b	2	12	19	18	12	19	18
s02e13a	2	9	18	16	9	18	16
s02e13b	2	15	22	17	15	22	17
s02e14a	2	10	18	10	10	17	10
s02e14b	2	7	21	14	7	21	14
s02e15a	2	12	20	14	12	20	14
s02e15b	2	10	16	16	10	16	16
s02e16a	2	14	26	13	13	25	13
s02e16b	2	9	19	14	9	19	14
s02e17a	2	14	23	18	13	22	18
s02e17b	2	11	20	13	11	20	13
s02e18a	2	13	23	15	13	23	15
s02e18b	2	9	20	14	9	20	14
s02e19a	2	14	20	14	14	20	14
s02e19b	2	13	20	11	13	20	11
s02e20a	2	11	18	13	10	17	12
s02e20b	2	8	20	10	8	20	10
s02e21a	2	10	18	17	10	18	17
s02e21b	2	8	14	18	8	14	18
s02e22a	2	13	35	19	12	34	19
s02e22b	2	4	34	16	4	34	16
s02e23a	2	15	25	15	15	25	15
s02e23b	2	11	16	12	11	16	12
s02e24a	2	12	22	17	12	22	17
s02e24b	2	7	15	16	7	15	16
s03e01a	3	12	20	13	12	20	13
s03e01b	3	9	17	12	9	17	12
s03e02a	3	5	30	13	5	30	13
s03e02b	3	2	21	11	2	21	11
s03e03a	3	9	14	13	9	14	13
s03e03b	3	10	15	13	10	15	13
s03e04a	3	11	15	12	11	15	12
s03e04b	3	12	19	12	12	19	12
s03e05a	3	12	18	13	12	18	13
s03e05b	3	10	17	17	10	17	17
s03e06a	3	13	26	16	13	26	16
s03e06b	3	9	13	14	9	13	14
s03e07a	3	12	27	14	12	27	14
s03e07b	3	11	16	16	11	16	16
s03e08a	3	10	17	15	10	17	15
s03e08b	3	11	15	12	11	15	12
s03e09a	3	5	12	25	5	12	25
s03e09b	3	4	11	27	4	11	27
s03e10a	3	11	16	15	11	16	15
s03e10b	3	12	25	15	12	25	15
s03e11a	3	12	21	20	12	21	20
s03e11b	3	10	18	16	10	18	16
s03e12a	3	13	25	13	13	25	13
s03e12b	3	13	19	18	11	17	18
s03e13a	3	14	22	22	14	22	22
s03e13b	3	11	19	23	11	19	23
s03e14a	3	12	21	18	12	21	18
s03e14b	3	13	16	14	13	16	14
s03e15a	3	12	19	16	12	19	16
s03e15b	3	12	20	24	12	20	24
s03e16a	3	13	20	17	13	20	17
s03e16b	3	3	8	42	3	8	42
s03e17a	3	8	17	19	8	17	19
s03e17b	3	7	12	19	7	12	19
s03e18a	3	11	22	14	11	22	14
s03e18b	3	15	22	19	15	22	19
s03e19a	3	12	20	14	12	20	14
s03e19b	3	12	16	17	12	16	17
s03e20a	3	11	23	18	11	23	18
s03e20b	3	12	21	14	12	21	14
s03e21a	3	13	25	15	13	25	15
s03e21b	3	12	19	21	12	19	21
s03e22a	3	12	30	21	12	30	21
s03e22b	3	9	22	18	9	22	18
s03e23a	3	13	23	15	13	23	15
s03e23b	3	13	18	14	13	18	14
s03e24a	3	15	27	23	15	27	23
s03e24b	3	12	14	11	12	14	11
s03e25a	3	10	21	19	10	21	19
s03e25b	3	10	26	20	10	26	20
s04e01a	4	16	27	23	16	27	23
s04e01b	4	8	14	17	8	14	17
s04e02a	4	13	17	16	13	17	16
s04e02b	4	13	22	14	13	22	14
s04e03a	4	12	27	22	12	27	22
s04e03b	4	13	20	15	13	20	15
s04e04a	4	14	25	16	13	24	16
s04e04b	4	15	21	19	14	20	19
s04e05a	4	11	25	15	11	25	15
s04e05b	4	14	27	18	14	27	18
s04e06a	4	11	19	16	11	19	16
s04e06b	4	11	23	17	11	23	17
s04e07a	4	11	21	18	11	21	18
s04e07b	4	12	15	16	12	15	16
s04e08a	4	10	19	21	10	19	21
s04e08b	4	5	18	21	5	18	21
s04e09a	4	17	23	11	16	22	11
s04e09b	4	11	17	10	11	17	10
s04e10a	4	13	17	13	13	17	13
s04e10b	4	12	17	14	12	17	14
s04e11a	4	9	12	20	9	12	20
s04e11b	4	9	16	16	9	16	16
s04e12a	4	10	16	15	9	14	15
s04e12b	4	10	20	22	10	20	22
s04e13a	4	14	27	22	13	26	22
s04e13b	4	10	22	16	10	22	16
s04e14a	4	7	25	17	7	25	17
s04e14b	4	11	20	15	11	20	15
s04e15a	4	11	20	12	11	20	12
s04e15b	4	11	14	24	11	14	24
s04e16a	4	10	20	22	10	20	22
s04e16b	4	7	15	20	7	15	20
s04e17a	4	15	20	15	14	19	15
s04e17b	4	14	19	21	14	19	21
s04e18a	4	10	19	14	10	19	14
s04e18b	4	11	20	17	11	20	17
s04e19a	4	8	14	10	8	14	10
s04e19b	4	6	21	22	6	21	22
s04e20a	4	13	21	15	13	20	15
s04e20b	4	11	21	19	10	20	19
s04e21a	4	5	24	30	4	22	30
s04e21b	4	4	23	27	2	21	27
s04e22a	4	13	22	12	13	22	12
s04e22b	4	11	25	11	11	25	11
s04e23a	4	16	30	19	16	30	19
s04e23b	4	14	23	16	14	23	16
s04e23c	4	15	25	17	15	25	17
