scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	3.52	3.92	Okay.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe		Rachel	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	okay	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
1	2	3.92	6.08	Hey, does everybody hate these shoes?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Rachel	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	(running in from her bedroom, wearing only a towel) Okay. Hey. Umm. Does everybody hate these shoes?	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
1	10	22.72	24.0	Hey, what are you doing Friday?	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Chandler	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Hey, what are you doing Friday	Chandler	Chandler	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
1	14	29.58	30.58	Oh, God.	Ross	medium	short_turn_alternation	0.7	dialogue	True	False	Rachel | Chandler | Ross | Phoebe	Chandler	Ross	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	chandler|ross	present			medium	
1	23	47.7	49.62	Must take you forever to find your keys.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Phoebe	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	(to Phoebe) It must take you forever to find your keys.	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	24	50.74	51.58	Thank you, thank you.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Chandler	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	(running into the living room) Thank you, thank you, thank you, Pheebs.	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	25	51.58	52.42	Thank you, Pheebs.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Rachel	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	thank you pheebs	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	26	52.42	52.94	You're welcome.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Rachel	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	you're welcome	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	27	52.94	54.58	Oh, please want the one with the turtles.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Phoebe	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	You're welcome, oh please not the one with the turtles.	Phoebe	Phoebe	partial	char_tracker_stage05		absent	0.3333		medium	speaker_no_face
1	42	82.98	84.9	Hey, so can you make it on Friday?	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Phoebe	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	(to Ross) Hey, so can you make it on Friday?	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	43	85.32	85.56	What?	Ross	medium	short_turn_alternation	0.7	dialogue	True	False	Rachel | Chandler | Ross | Phoebe	Chandler	Ross	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	chandler|ross	present			medium	
1	50	97.56	99.28	A stripper at a bachelor party?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Chandler	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	A stripper at a bachelor party, that is so cliché. Why don't you get a magician?!	Phoebe	Phoebe	partial	char_tracker_stage05		absent	0.3333		medium	speaker_no_face
1	54	107.24	120.77	All right, she's having lunch with him.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Chandler | Ross | Phoebe	Chandler	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	all right	Chandler	Chandler	partial	char_tracker_stage05		absent	0.2857		medium	speaker_no_face
1	55	121.17	122.21	Lunch with him.	Chandler	medium	scene_context_inference	0.68	dialogue	True	False	Rachel | Chandler | Ross | Phoebe	Chandler	Chandler	True	medium_confidence_context_fill	Filled from previous same-scene context.				present	char_tracker_stage05	chandler|ross	present			medium	
1	56	122.21	124.77	You should have seen the hug he gave her when she got the job.	Chandler	medium	scene_context_inference	0.68	dialogue	True	False	Rachel | Chandler | Ross | Phoebe	Chandler	Chandler	True	medium_confidence_context_fill | speaker_offscreen	Filled from previous same-scene context.				present	char_tracker_stage05	ross	absent			low	speaker_offscreen
1	57	124.85	125.17	And?	Chandler	medium	scene_context_inference	0.68	dialogue	True	False	Rachel | Chandler | Ross | Phoebe	Chandler		True	scene_end_short_utterance | speaker_offscreen	Filled from previous same-scene context.				present	char_tracker_stage05	ross	absent			low	speaker_offscreen
3	60	129.33	130.45	What am I gonna do?	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Ross	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	What am I gonna do	Ross	Ross	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
3	62	132.21	133.25	Keep it inside.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Chandler	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Keep it inside	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
3	63	133.41	134.93	Learn how to hide your feelings.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Chandler	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Don't do anything. Keep it inside. Learn how to hide your feelings! (pause) Don't cry out loud.	Chandler	Chandler	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
3	65	139.97	140.45	Yes.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Chandler	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Yes	Joey	Joey	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
3	66	141.97	143.97	Guess who has an audition for a Broadway musical?	Joey	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Joey	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	(hanging up the phone) Yes! Guess who's in an audition for a Broadway musical?	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
3	75	173.31	174.75	I'll get you the Cliff Notes.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Joey	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	I'll get you the Cliff Notes.	Chandler	Chandler	present	char_tracker_stage05	joey	absent	0.0		low	speaker_offscreen
3	77	177.87	178.83	The abridgment.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Ross | Chandler | Joey	Joey	Joey	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	The abridgment.	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
4	86	205.18	205.66	Woo.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Wow	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
4	87	205.66	206.54	My first call.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Rachel	Mark	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Oh!! I love this job! (her phone rings) Wow! My first call.	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
4	88	206.7	207.42	Here, let me.	Mark	low	scene_context_inference	0.58	dialogue	True	False	Mark | Rachel | Ross	Rachel	Mark	True	two_sided_context_ambiguous | low_speaker_confidence	No direct transcript match; weak local context only.				absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
4	93	214.3	215.02	This is Ross.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Mark	Mark	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	This is Ross?	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
4	105	229.49	229.97	Hi.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Rachel	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Hi	Ross	Ross	present	char_tracker_stage05	rachel	absent	0.0		low	speaker_offscreen
4	107	233.09	234.69	Oh, he's just goofing around.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Oh, he's just goofing around.	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
4	116	253.33	254.21	What did I just do?	Ross	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Rachel	Rachel	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	What?	Ross	Ross	present	char_tracker_stage05	rachel	absent	0.0		low	speaker_offscreen
4	122	261.87	262.35	Ow.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Mark | Rachel | Ross	Ross	Ross	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Ow! Ross!!	Rachel	Rachel	present	char_tracker_stage05	ross	absent	0.0		low	speaker_offscreen
6	138	310.43	312.27	Look, Julio, someone left their book here.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Julio | Joey		Julio	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Look Julio, someone left their book here.	Monica	Monica	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
6	140	314.91	315.55	Oh yeah?	Monica	high	community_transcript_match	1.0	dialogue	False	True	Monica | Julio | Joey	Julio	Monica	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	oh yeah	Monica	Monica	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
6	159	400.4	405.52	You got to pick a pocket or two, boys.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Monica | Julio | Joey	Monica		True	speaker_no_face	Speaker agrees with available community-transcript mapping.	boyyyyssss you've got to pick a pocket or two	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
7	167	427.09	427.89	I'll be there.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Director	Joey	Director	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Excellent, I'll be there.	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
8	176	445.95	448.43	Three years of modern dance with Twyla Tharp.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Joey | Phoebe		Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	....three years of modern dance with Twyla Tharp! Five years with the American Ballet Theater?!	Chandler	Chandler	present	char_tracker_stage05	joey	absent	0.0		low	speaker_offscreen
8	177	450.59	453.23	Five years with the American Ballet Theater.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Joey | Phoebe	Chandler	Joey	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Five years with the American Ballet Theater	Chandler	Chandler	present	char_tracker_stage05	joey	absent	0.0		low	speaker_offscreen
8	189	491.53	492.01	Hi.	Chandler	high	scene_context_bridge	0.88	dialogue	True	False	Chandler | Joey | Phoebe	Chandler	Chandler	True	speaker_no_face	Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
