season	file	rows	review_rows_before_qa	review_rows_after_qa	speaker_ct_overrides	scene_bridge_fixes	scene_anomaly_fixes	review_rows_resolved	remaining_unresolved_rows
s1	friends_s01e01a_sentence_speaker_table_enhanced.tsv	315	105	99	0	0	0	84	0
s1	friends_s01e01b_sentence_speaker_table_enhanced.tsv	309	88	84	0	0	0	73	0
s1	friends_s01e02a_sentence_speaker_table_enhanced.tsv	231	135	131	0	0	0	115	0
s1	friends_s01e02b_sentence_speaker_table_enhanced.tsv	245	142	142	0	0	0	126	0
s1	friends_s01e03a_sentence_speaker_table_enhanced.tsv	271	199	197	0	0	0	178	0
s1	friends_s01e03b_sentence_speaker_table_enhanced.tsv	234	172	172	0	0	0	152	3
s1	friends_s01e04a_sentence_speaker_table_enhanced.tsv	281	205	203	0	0	0	183	0
s1	friends_s01e04b_sentence_speaker_table_enhanced.tsv	293	191	191	0	0	0	170	3
s1	friends_s01e05a_sentence_speaker_table_enhanced.tsv	281	174	172	0	0	0	158	0
s1	friends_s01e05b_sentence_speaker_table_enhanced.tsv	280	201	199	0	0	0	180	0
s1	friends_s01e06a_sentence_speaker_table_enhanced.tsv	289	199	196	0	0	0	173	0
s1	friends_s01e06b_sentence_speaker_table_enhanced.tsv	252	194	193	0	0	0	168	0
s1	friends_s01e07a_sentence_speaker_table_enhanced.tsv	249	70	63	0	0	0	50	0
s1	friends_s01e07b_sentence_speaker_table_enhanced.tsv	227	66	56	0	0	0	54	0
s1	friends_s01e08a_sentence_speaker_table_enhanced.tsv	236	45	45	0	0	0	29	0
s1	friends_s01e08b_sentence_speaker_table_enhanced.tsv	214	49	48	0	0	0	42	0
s1	friends_s01e09a_sentence_speaker_table_enhanced.tsv	223	56	56	0	0	0	46	0
s1	friends_s01e09b_sentence_speaker_table_enhanced.tsv	244	92	90	0	0	0	77	0
s1	friends_s01e10a_sentence_speaker_table_enhanced.tsv	279	67	66	0	0	0	51	0
s1	friends_s01e10b_sentence_speaker_table_enhanced.tsv	265	58	53	0	0	0	34	0
s1	friends_s01e11a_sentence_speaker_table_enhanced.tsv	263	66	63	0	0	0	48	0
s1	friends_s01e11b_sentence_speaker_table_enhanced.tsv	296	73	72	0	0	0	49	0
s1	friends_s01e12a_sentence_speaker_table_enhanced.tsv	242	60	50	0	0	0	49	0
s1	friends_s01e12b_sentence_speaker_table_enhanced.tsv	240	64	63	0	0	0	53	0
s1	friends_s01e13a_sentence_speaker_table_enhanced.tsv	267	44	43	0	0	0	26	0
s1	friends_s01e13b_sentence_speaker_table_enhanced.tsv	241	44	43	0	0	0	30	0
s1	friends_s01e14a_sentence_speaker_table_enhanced.tsv	244	70	69	0	0	0	60	0
s1	friends_s01e14b_sentence_speaker_table_enhanced.tsv	236	50	39	0	0	0	42	0
s1	friends_s01e15a_sentence_speaker_table_enhanced.tsv	253	65	61	0	0	0	49	0
s1	friends_s01e15b_sentence_speaker_table_enhanced.tsv	252	67	64	0	0	0	50	0
s1	friends_s01e16a_sentence_speaker_table_enhanced.tsv	284	46	45	0	0	0	36	0
s1	friends_s01e16b_sentence_speaker_table_enhanced.tsv	274	75	43	0	0	0	62	0
s1	friends_s01e17a_sentence_speaker_table_enhanced.tsv	286	57	53	0	0	0	42	1
s1	friends_s01e17b_sentence_speaker_table_enhanced.tsv	268	54	53	0	0	0	41	0
s1	friends_s01e18a_sentence_speaker_table_enhanced.tsv	277	82	78	0	0	0	66	0
s1	friends_s01e18b_sentence_speaker_table_enhanced.tsv	264	61	60	0	0	0	49	0
s1	friends_s01e19a_sentence_speaker_table_enhanced.tsv	290	78	57	0	0	0	65	0
s1	friends_s01e19b_sentence_speaker_table_enhanced.tsv	294	86	84	0	0	0	67	0
s1	friends_s01e20a_sentence_speaker_table_enhanced.tsv	266	84	80	0	0	0	71	0
s1	friends_s01e20b_sentence_speaker_table_enhanced.tsv	253	69	69	0	0	0	56	0
s1	friends_s01e21a_sentence_speaker_table_enhanced.tsv	249	56	53	0	0	0	45	0
s1	friends_s01e21b_sentence_speaker_table_enhanced.tsv	211	44	35	0	0	0	33	0
s1	friends_s01e22a_sentence_speaker_table_enhanced.tsv	259	71	67	0	0	0	58	0
s1	friends_s01e22b_sentence_speaker_table_enhanced.tsv	256	79	76	0	0	0	65	0
s1	friends_s01e23a_sentence_speaker_table_enhanced.tsv	327	81	74	0	0	0	62	0
s1	friends_s01e23b_sentence_speaker_table_enhanced.tsv	256	64	56	0	0	0	44	1
s1	friends_s01e24a_sentence_speaker_table_enhanced.tsv	272	68	63	0	0	0	55	0
s1	friends_s01e24b_sentence_speaker_table_enhanced.tsv	278	70	67	0	0	0	57	0
