scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	1.84	3.2	Oh, my God.				present	char_tracker_stage05	monica	unknown			low	missing_speaker
39	2	5.12	5.84	I know.	Chandler	I know.	Chandler	present	char_tracker_stage05	monica	absent	0.0000		low	speaker_offscreen
39	3	7.76	8.8	I tell you something.	Monica	i know i'll tell you something	Monica	present	char_tracker_stage05	monica	present	1.0000		low	low_speaker_confidence
40	4	9.52	11.2	We are gonna do that again.	Monica	I know! I’ll tell you something, we are gonna do that again!	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
40	5	13.76	14.12	Oh.	Chandler	oh	Chandler	present	char_tracker_stage05	monica	absent	0.0000		low	speaker_offscreen
40	6	14.12	25.54	Okay.	Chandler	Oh, okay! (He rolls over to do that again.)	Chandler	partial	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
41	7	26.41	26.65	Morning.	Joey	(entering) Morning!	Joey	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
41	8	29.21	29.93	All right.	Rachel	(wakes up suddenly and realizes where she is) Oh right.	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
41	9	30.17	30.73	Yeah.	Joey	Yeah.	Joey	present	char_tracker_stage05	joey|rachel	present	1.0000		high	
41	10	32.09	33.37	Oh, God.	Rachel	Oh God	Rachel	present	char_tracker_stage05	rachel	present	1.0000		medium	
41	11	34.57	38.25	Oh, I can't believe Joey Tribbiani heard me throw up.	Rachel	(groans) Oh God. Oh I can’t believe Joey Tribbiani heard me throw up!	Rachel	present	char_tracker_stage05	rachel	present	0.8000		high	
41	12	40.09	42.25	He actually saw you a little bit too.	Joey	Well he actually saw you a little bit too.	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
41	13	42.25	42.65	No.				present	char_tracker_stage05	joey	unknown			low	missing_speaker
41	14	44.97	45.69	Oh, God.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
41	15	45.69	45.93	We.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
41	16	45.93	46.69	Hey, we didn't.				present	char_tracker_stage05	rachel	unknown			low	missing_speaker
41	17	46.69	47.29	We didn't.	Rachel	Noo! Oh God we did—we didn’t, we didn’t uhh…	Rachel	present	char_tracker_stage05	joey|rachel	present	1.0000		medium	
41	18	47.69	49.13	No, no, no.	Joey	No	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
41	19	49.61	50.89	Not after seeing that.	Joey	No! No! No, not after seeing that.	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
