scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
53	1	9.36	11.2	Well, I've never done that with you before.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica		Monica	False		Speaker agrees with available community-transcript mapping.	Well I've-I've never done that with you before.	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	2	13.2	13.84	Nope.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Chandler	Chandler	False		Speaker agrees with available community-transcript mapping.	(In am uneasy voice.) Nope. (She chuckles uneasily.)	Monica	Monica	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	3	14.88	16.399	So how are you?	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Monica	Chandler	False		Speaker agrees with available community-transcript mapping.	So, ahh, how are ya? How ya...How ya... You okay?	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	4	16.88	17.6	You okay?	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Chandler	Monica	False		Speaker agrees with available community-transcript mapping.	so ahh ya how ya how ya you okay	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	5	19.12	19.6	Yep.	Monica	medium	short_turn_alternation	0.7	dialogue	True	False	Chandler | Monica	Chandler	Monica	True	short_utterance_between_two_speakers	Short utterance inferred from local turn alternation.				present	char_tracker_stage05	chandler|monica	present			medium	
53	6	19.6	20.08	Yep.	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Chandler | Monica	Monica	Monica	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler|monica	present			high	
53	7	20.32	20.68	You?	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Chandler | Monica	Monica	Monica	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler|monica	present			high	
53	8	20.68	21.76	Oh, yes, yes.	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Chandler | Monica	Monica	Monica	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler|monica	present			high	
53	9	21.92	22.64	Uh huh.	Monica	high	scene_context_bridge	0.88	dialogue	True	False	Chandler | Monica	Monica	Monica	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	chandler|monica	present			high	
53	10	23.52	23.92	You.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Monica	Chandler	False		Speaker agrees with available community-transcript mapping.	Yep, yep...You?	Monica	Monica	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	11	26.37	26.93	We did you.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Monica	Monica	False		Speaker agrees with available community-transcript mapping.	Yes...Yes..Uh-huh, You?(Looking over at her. She looks back.) We did you.	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	12	30.37	33.49	Well, I better get going.	Monica	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Chandler	Chandler	False		Speaker agrees with available community-transcript mapping.	Well...I'd better get going.	Monica	Monica	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	13	33.49	34.53	Oh, yeah, absolutely.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Monica	Monica	False		Speaker agrees with available community-transcript mapping.	Oh yea yea, absolutely.	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
53	14	38.37	39.25	Could you not look?	Monica	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Chandler	Chandler	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	(Scoots towards the side of the bed.) Could you not look?	Monica	Monica	present	char_tracker_stage05	chandler	absent	0.0		low	speaker_offscreen
53	15	40.29	41.33	I don't want to look.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Monica	Monica		False		Speaker agrees with available community-transcript mapping.	I don't want to look.	Chandler	Chandler	present	char_tracker_stage05	chandler|monica	present	1.0		high	
54	16	55.48	55.88	Hello?	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe		Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hello?	Joey	Joey	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
54	17	56.04	56.48	Hey.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Phoebe	False		Speaker agrees with available community-transcript mapping.	hey were	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	18	56.48	57.8	Where the hell have you been?	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Joey	False		Speaker agrees with available community-transcript mapping.	(Angrily.) Hey, were the hell have you been?!	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	19	58.36	58.84	Hey.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Joey	False		Speaker agrees with available community-transcript mapping.	Hey	Joey	Joey	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
54	20	59.16	60.32	I spent the night out.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Joey	False		Speaker agrees with available community-transcript mapping.	I spent the night out	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
54	21	60.32	62.68	I met this cute bridesmaid.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Joey	False		Speaker agrees with available community-transcript mapping.	Hey. I spent the night out. I met this cute bridesmaid. She is so...	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
54	22	62.84	63.88	She is so.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Phoebe	False		Speaker agrees with available community-transcript mapping.	She is so	Joey	Joey	present	char_tracker_stage05	joey	present	0.5		high	
54	23	64.04	65.48	I. I don't want to hear about her.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Joey	False		Speaker agrees with available community-transcript mapping.	I don't want to hear about her!!	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
54	24	65.88	68.68	Aw, Pheeves, you know you're still my number one girl.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	Ahh Pheebs, you know you're still my number one girl.	Joey	Joey	present	char_tracker_stage05	joey	present	1.0		high	
54	25	70.2	70.92	No, no.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Phoebe	False		Speaker agrees with available community-transcript mapping.	No	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	26	70.92	72.04	We have an emergency.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	No, we have an emergency	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	27	72.04	72.48	Okay.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	Okay	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	28	72.48	73.88	Rachel's coming to London.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Joey	False		Speaker agrees with available community-transcript mapping.	No! No, we have an emergency. Okay? Rachel's coming to London.	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
54	29	73.96	74.76	Oh, great.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	Ohh great!!!	Joey	Joey	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
54	30	76.2	77.4	Well, it's not great.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Phoebe	False		Speaker agrees with available community-transcript mapping.	No it's not great	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	31	77.64	79.96	No, she's coming to tell Ross that she loves him.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Joey	False		Speaker agrees with available community-transcript mapping.	No it's not great. No, she's coming to tell Ross that she loves him.	Phoebe	Phoebe	present	char_tracker_stage05	phoebe	present	1.0		high	
54	32	80.41	81.37	But he loves Emily.	Joey	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	(Confused.) But, he loves Emily?	Joey	Joey	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
54	33	81.61	82.57	I know that.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Joey	Phoebe	False		Speaker agrees with available community-transcript mapping.	I KNOW THAT	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
54	34	84.09	85.41	You have to stop her.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Joey | Phoebe	Phoebe	Phoebe	False		Speaker agrees with available community-transcript mapping.	I KNOW THAT!!! You have to stop her!! She's going to ruin the wedding!!	Phoebe	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0		high	
