scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
19	1	0.32	1.12	My bag over there.	Chandler	They’re in my bag over there. (Points.)	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
19	2	6.8	9.6	Uh, could you leave me one?	Chandler	Uh, could you leave me one?	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
19	3	13.2	14.0	For just you?	Joey	(pause) For just you?	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
19	4	15.44	15.92	Yeah.	Chandler	Yeah.	Chandler	present	char_tracker_stage05	chandler	present	1.0000		high	
19	5	19.68	21.68	Listen, why don't you come downstairs with me?	Joey	Hey listen, why don’t you come downstairs with me? There’s some really nice girls down there.	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
19	6	21.68	23.36	There's some really nice girls down there.	Joey	There's some really nice girls down there	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
19	7	23.44	24.72	Nah, I'm fine.	Chandler	No I-I-I’m fine.	Chandler	present	char_tracker_stage05	chandler|joey	present	1.0000		medium	
19	8	26.16	26.72	All right.	Joey	all right go nuts	Joey	present	char_tracker_stage05	joey	present	1.0000		low	low_speaker_confidence
19	9	26.8	27.92	Here you go, buddy.	Joey	All right, here you go buddy. (He tosses him one.) Go nuts. (Exits.)	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
19	10	28.69	29.49	Go nuts.	Joey	Go nuts	Joey	present	char_tracker_stage05	chandler	absent	0.0000		low	speaker_offscreen
19	11	33.33	34.45	That's what that was?	Joey	that's what that was	Joey	present	char_tracker_stage05	joey	present	0.5000		low	low_speaker_confidence
20	12	34.85	37.97	Cause that other thing, I thought you were onto something, but it did nothing for me.	Joey	That’s what that was?! ‘Cause that other thing? I thought you were on to something, but it did nothing for me.	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
20	13	39.57	40.97	Hey, can we change the topic?	Monica	Okay, can we change the topic	Monica	present	char_tracker_stage05	chandler|joey|monica	present	1.0000		medium	
20	14	40.97	42.61	Because it's really doing nothing for me.	Monica	Okay, can we change the topic? Because it’s really doing nothing for me.	Monica	present	char_tracker_stage05	chandler|monica	present	1.0000		high	
20	15	44.05	46.37	Can you imagine if I hadn't left you that last one?				present	char_tracker_stage05	joey	unknown			low	missing_speaker
20	16	46.61	48.13	You two might have never gotten together.				present	char_tracker_stage05	chandler|joey|monica	unknown			low	missing_speaker
20	17	48.93	52.53	Oh, can you imagine if I had set that hooker up to the room like I was gonna.	Joey	Oh… (To Chandler) Can you imagine if I hadn’t left you that last one? You two might’ve never gotten together. Ooh-ooh! Could you imagine if I sent that hooker up to the room like I was gonna?! It’s like it was in the stars!	Joey	present	char_tracker_stage05	joey|monica	present	1.0000		medium	
20	18	54.69	56.21	It's like it was in the stars.	Joey	It's like it was in the stars	Joey	present	char_tracker_stage05	chandler|joey|monica	present	1.0000		medium	
20	19	57.69	58.09	Yeah.	Phoebe	yeah it's	Phoebe	present	char_tracker_stage05	chandler|joey|monica|phoebe	present	0.5000		low	low_speaker_confidence
20	20	58.25	59.37	Totally meant to be.	Phoebe	Yeah, it's totally meant to be	Phoebe	present	char_tracker_stage05	chandler|joey|monica|phoebe	present	1.0000		medium	
20	21	59.53	61.85	Tell him who you originally wanted to hook up with that night.	Phoebe	Yeah, it’s totally meant to be. (To Monica) Tell him who you originally wanted to hook up with that night.	Phoebe	present	char_tracker_stage05	joey|phoebe	present	1.0000		high	
20	22	63.69	64.09	What?	Monica	What?!	Monica	present	char_tracker_stage05	chandler|monica	present	1.0000		high	
20	23	64.81	65.21	What?	Chandler	What?	Chandler	present	char_tracker_stage05	chandler|monica|phoebe	present	0.5000		high	
20	24	66.17	66.57	What?	Phoebe	(To Joey) What?!	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
20	25	69.21	71.53	Who did you originally want to hook up with?	Chandler	Who did you originally want to hook up with?	Chandler	present	char_tracker_stage05	chandler|monica	present	0.6667		high	
20	26	73.37	74.05	Okay, fine.				present	char_tracker_stage05	chandler|monica	unknown			low	missing_speaker
20	27	74.05	76.21	But please don't be upset, okay?				present	char_tracker_stage05	monica	unknown			low	missing_speaker
20	28	76.21	77.97	I was really depressed, okay?				present	char_tracker_stage05	monica	unknown			low	missing_speaker
20	29	77.97	80.09	And really drunk.				present	char_tracker_stage05	monica	unknown			low	missing_speaker
20	30	80.49	82.45	I just wanted something stupid and meaningless.				present	char_tracker_stage05	monica	unknown			low	missing_speaker
20	31	82.45	83.99	I just wanted just sex.				present	char_tracker_stage05	monica	unknown			low	missing_speaker
20	32	84.07	91.91	So when I went to your room that night, I was actually looking for Joey.	Monica	Okay, fine but please don’t be upset! Okay? I was really depressed okay? And really drunk! I just wanted something stupid and meaningless. I just wanted…just sex. So, when I…went to your room that night…I was actually looking…for Joey. (Joey smiles.)	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
20	33	98.79	99.91	Yeah, baby.	Joey	Yeah baby! (Chandler glares at him.) No baby!	Joey	present	char_tracker_stage05	joey	present	1.0000		high	
20	34	102.07	103.19	Joe, Baby.	Joey	No baby	Joey	present	char_tracker_stage05	joey	present	1.0000		medium	
20	35	105.19	106.15	Oh, my God.				absent	char_tracker_stage05		unknown			low	missing_speaker
22	36	106.79	108.47	You came to the room looking for Joey.	Chandler	(To Monica) So you came to the room looking for Joey? Did you ever in-intend on telling me about this?	Chandler	present	char_tracker_stage05	chandler	present	0.6667		medium	
22	37	108.88	110.56	Were you ever planning on telling me this?	Chandler	Did you ever in-intend on telling me about this	Chandler	present	char_tracker_stage05	chandler	present	1.0000		medium	
22	38	110.8	111.16	No.	Monica	no	Monica	present	char_tracker_stage05	chandler|monica	present	1.0000		low	low_speaker_confidence
22	39	111.16	113.04	Because I, I, I didn't think it was important.	Monica	No because it-it didn’t seem important.	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
22	40	113.92	114.72	It's not important.	Chandler	Oh, it's not important	Chandler	present	char_tracker_stage05	monica	absent	0.0000		low	speaker_offscreen
22	41	115.28	116.08	It's not important?	Chandler	It's not important	Chandler	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
22	42	116.24	119.44	If it wasn't for a bridesmaid, you'd be marrying him, not me.	Chandler	Oh, it’s not important? It’s not important?! If it wasn’t for a bride’s maid you’d be marrying him (Points to Joey) not me!	Chandler	present	char_tracker_stage05	chandler	present	0.7500		medium	
22	43	119.6	122.64	No, the point is, it was you that was there that night.	Monica	Noo!! The point is that is was you that was there that night! It is you that I am marrying! It is you that I feel in love with!	Monica	present	char_tracker_stage05	chandler|monica	present	0.7500		medium	
22	44	122.96	125.08	It is you that I'm marrying.	Monica	It is you that I am marrying	Monica	present	char_tracker_stage05	monica	present	1.0000		medium	
