file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s06e01a_sentence_speaker_table.tsv	248	34	34	54	0	224	22	2	188	42	18	219	4	25	0	0	16	6
friends_s06e01b_sentence_speaker_table.tsv	270	47	47	62	0	250	18	2	200	38	32	240	7	23	0	0	30	7
friends_s06e02a_sentence_speaker_table.tsv	270	48	48	66	0	236	32	2	186	59	25	232	8	30	0	0	23	18
friends_s06e02b_sentence_speaker_table.tsv	269	38	38	40	0	244	22	3	217	32	20	246	9	14	0	0	17	11
friends_s06e03a_sentence_speaker_table.tsv	248	47	47	42	0	214	32	2	185	43	20	235	8	5	0	0	18	20
friends_s06e03b_sentence_speaker_table.tsv	266	33	33	61	0	240	24	2	195	60	11	216	11	39	0	0	9	10
friends_s06e04a_sentence_speaker_table.tsv	213	21	21	39	0	203	10	0	171	30	12	185	10	15	3	0	12	1
friends_s06e04b_sentence_speaker_table.tsv	231	38	37	44	1	202	27	2	171	44	16	185	12	32	2	0	14	14
friends_s06e05a_sentence_speaker_table.tsv	236	29	29	52	0	210	25	1	166	58	12	193	16	27	0	0	11	17
friends_s06e05b_sentence_speaker_table.tsv	242	55	55	69	0	220	21	1	165	55	22	188	18	35	1	0	21	8
friends_s06e06a_sentence_speaker_table.tsv	244	35	35	53	0	219	20	5	181	43	20	215	10	19	0	0	15	10
friends_s06e06b_sentence_speaker_table.tsv	285	64	64	58	0	255	28	2	213	51	21	255	9	21	0	0	19	14
friends_s06e07a_sentence_speaker_table.tsv	252	40	40	49	0	230	21	1	190	49	13	214	8	30	0	0	12	12
friends_s06e07b_sentence_speaker_table.tsv	231	53	53	71	0	192	32	7	145	65	21	169	14	48	0	0	14	14
friends_s06e08a_sentence_speaker_table.tsv	229	22	22	45	0	212	16	1	177	41	11	189	8	31	1	0	10	5
friends_s06e08b_sentence_speaker_table.tsv	231	35	35	41	0	212	19	0	179	46	6	169	17	45	0	0	6	11
friends_s06e09a_sentence_speaker_table.tsv	272	42	42	51	0	240	29	3	208	43	21	235	11	26	0	0	18	12
friends_s06e09b_sentence_speaker_table.tsv	268	46	46	46	0	235	30	3	212	38	18	243	9	16	0	0	15	9
friends_s06e10a_sentence_speaker_table.tsv	247	41	41	67	0	208	37	2	163	70	14	190	10	47	0	0	12	16
friends_s06e10b_sentence_speaker_table.tsv	248	50	50	61	0	215	28	5	172	60	16	185	11	52	0	0	11	15
friends_s06e11a_sentence_speaker_table.tsv	254	37	37	52	0	227	24	3	187	47	20	220	12	22	0	0	18	15
friends_s06e11b_sentence_speaker_table.tsv	304	58	58	76	0	269	29	6	211	71	22	245	8	51	0	0	16	16
friends_s06e12a_sentence_speaker_table.tsv	239	23	23	45	0	223	14	2	189	26	24	221	5	13	0	0	22	5
friends_s06e12b_sentence_speaker_table.tsv	261	39	39	38	0	233	28	0	204	44	13	238	8	15	0	0	13	19
friends_s06e13a_sentence_speaker_table.tsv	266	47	47	37	0	236	28	2	211	43	12	209	15	42	0	0	10	17
friends_s06e13b_sentence_speaker_table.tsv	270	50	50	66	0	244	24	2	194	58	18	209	11	50	0	0	16	9
friends_s06e14a_sentence_speaker_table.tsv	271	45	45	50	0	242	27	2	205	50	16	214	14	43	0	0	14	16
friends_s06e14b_sentence_speaker_table.tsv	281	44	44	50	0	254	27	0	217	49	15	237	13	31	0	0	15	14
friends_s06e15a_sentence_speaker_table.tsv	278	53	53	68	0	244	32	2	197	50	31	245	8	25	0	0	29	13
friends_s06e15b_sentence_speaker_table.tsv	257	29	29	44	0	236	20	1	202	33	22	236	8	13	0	0	21	10
friends_s06e15c_sentence_speaker_table.tsv	236	38	38	48	0	210	22	4	183	43	10	199	5	31	1	0	6	5
