scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
2	1	7.68	8.4	Hey, Eddie.	Chandler	high	qa_review_resolved_ct_support	1.0	dialogue	False	True	Chandler | Eddie		Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping. | QA resolved prior review with community-transcript support.	Hey Eddie. Daahh!! What're you doin' here?	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
2	2	10.96	11.88	What are you doing here?	Chandler	medium	scene_context_inference	0.66	dialogue	True	False	Chandler | Eddie	Chandler	Eddie	True	two_sided_context_ambiguous | speaker_no_face	No direct transcript match; longer line defaulted to previous speaker in same scene.				absent	char_tracker_stage05		absent			medium	speaker_no_face
2	3	11.88	12.68	Nothing roomy.	Eddie	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Chandler	Eddie	False		Speaker agrees with available community-transcript mapping.	nothin' roomy	Eddie	Eddie	absent	char_tracker_stage05		unobserved			high	
2	4	12.68	13.76	Just watching you sleep.	Eddie	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Eddie	Chandler	False		Speaker agrees with available community-transcript mapping.	Nothin' roomy, just watchin' you sleep.	Eddie	Eddie	present	char_tracker_stage05	chandler	unobserved			high	
2	5	15.52	15.92	Why?	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Eddie	Eddie	False		Speaker agrees with available community-transcript mapping.	Why?	Chandler	Chandler	present	char_tracker_stage05	chandler	present	1.0		high	
2	6	16.64	18.96	Makes me feel peaceful.	Eddie	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Chandler	Eddie	False		Speaker agrees with available community-transcript mapping.	Makes me feel um, peaceful, heh-heh, please.	Eddie	Eddie	present	char_tracker_stage05	chandler	unobserved			high	
2	7	19.6	20.0	Please.	Eddie	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Eddie	Chandler	False		Speaker agrees with available community-transcript mapping.	heh heh please	Eddie	Eddie	present	char_tracker_stage05	chandler	unobserved			high	
2	8	21.12	22.4	I can't sleep now.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Eddie	Eddie	False		Speaker agrees with available community-transcript mapping.	I can't sleep now.	Chandler	Chandler	present	char_tracker_stage05	chandler	present	1.0		high	
2	9	22.88	23.84	You want me to sing?	Eddie	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Chandler	Chandler	False		Speaker agrees with available community-transcript mapping.	You want me to sing?	Eddie	Eddie	present	char_tracker_stage05	chandler	unobserved			high	
2	10	25.68	27.28	Look, that's it.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Chandler | Eddie	Eddie	Chandler	False		Speaker agrees with available community-transcript mapping.	no look that's it	Chandler	Chandler	present	char_tracker_stage05	chandler	present	1.0		high	
