scene_id	scene_desc	start	end	shot_ids
14	Time Lapse.	0.64	3.52	1
15	Stunned silence ensues.	7.68	9.20	4
16	Central Park, everyone's there.	17.28	75.62	7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25
17	Joey turns off the lights, and they all leave as Rachel starts to clean up.  Ross enters from the bathroom.	83.54	202.95	27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,44
18	Carol's OB/GYN, Carol is waiting.	202.95	206.67	44
19	Susan enters holding a drink.	208.59	264.46	45,46,47,49,50,51,52,53,55,57,58
20	Scene Barry's office, Barry is working on patient, Robbie, as Rachel enters.	271.42	298.45	60,61,62,63,64,65,66,67
21	As Barry exits Robbie stares at Rachel.	304.37	305.33	69
22	Carol's OB/GYN. Ross sees a model of a baby in a womb on a table and touches it, leaving the baby to fall out of the womb. Ross catches the baby and gently places it back in the womb.	323.64	381.70	74,75,76,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
23	Barry's office, Rachel is doing her makeup in the mirror on Barry's lamp as Barry enters.	385.46	506.91	97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,113,114,116,117,118,119,120,121,122,123,124,125,126
24	Barry and Rachel look at each other.	510.43	510.99	127
25	Carol's OB/GYN, they're still arguing about what to name the baby.	515.23	599.46	128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
26	He turns to go, but the sound of the sonogram catches his ear.  He returns and stares at it.	612.43	615.87	156
28	Monica and Rachel's apartment, everyone is watching the tape of the sonogram.   Rachel is on the phone.	626.99	706.92	159,160,162,163,164,165,166,167,168,169,171,173
