scene_id	scene_desc	start	end	shot_ids
19	They start making out again, and it takes Joey trying to enter to stop them.	0.32	34.45	2,3,4,5,6,7,8,9,10,11
20	Cut back to Monica and Chandler telling Phoebe and Joey the story.	34.85	106.15	12,13,14,15,16,18,19,20,21,22,23,24,25,27,29,30
22	Monica and Chandler's, scene continued from earlier.	106.79	204.06	30,31,32,33,34,35,37,38,39,40,42,43,44,45,46,47,48,49,50,51,53,54,55,56
23	Carol and Susan’s, Rachel is talking with Ben.	207.74	215.34	58,59,60,61,62
24	There’s a knock on the door and Ross enters.	219.26	357.44	64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
25	Central Perk, Chandler is sulking on the couch as Joey enters to talk with him.	358.16	457.08	100,101,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,122
27	Joey and Rachel's, Rachel is in the kitchen as Ross and Ben are entering.	459.80	479.86	123,124,125,126,127,128
28	Ross turns to leave.	485.14	508.51	132,133,134,136,137,138,139,140,141
29	Cut to the hallway, Ben runs upstairs with Ross in pursuit.	508.51	517.07	141,142,143,144,145
30	Central Perk, Chandler and Monica are entering. Phoebe and Joey are sitting on the couch.	534.97	557.12	150,151,153,155
31	Monica and Joey’s, Monica is cooking.	560.72	562.40	155
32	Joey, whose new diet is working out great, he looks like he only weighs 375 down from 420 enters from the bedroom.	568.40	587.18	158,159,160,161,162
33	Joey sits down.	587.18	587.62	162,163
34	Monica gets behind him and in combination with his sliding the chair forward and her pushing with her leg manages to get up to the table.	587.62	594.94	163,164
36	Central Perk, Joey is getting Phoebe some coffee.	601.02	626.55	165,166,167,168,169,172,173
