scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
10	3	7.92	8.88	See, that's the thing.	Chandler	high	community_transcript_match	1.0	dialogue	False	True	Monica | Chandler	Monica	Chandler	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	that's the thing see pribe of mwha ah libe	Chandler	Chandler	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
10	5	11.08	11.44	Live.	Chandler	medium	scene_context_inference	0.68	dialogue	True	False	Monica | Chandler	Chandler		True	scene_end_short_utterance	Filled from previous same-scene context.				present	char_tracker_stage05	chandler	present			medium	
12	7	24.88	25.36	Hey.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe		Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hey!	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	8	26.33	26.49	Hey.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Hey.	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	9	26.49	26.97	What's up?	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	What’s up?!	Rachel	Rachel	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	10	27.29	30.73	Um, I think there's something you should maybe know.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Rachel	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Umm, I think there’s something you should maybe know.	Phoebe	Phoebe	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
12	15	48.49	50.01	Yeah, I mean, it's probably nothing.	Phoebe	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Rachel	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	yeah i mean it's probably nothing	Phoebe	Phoebe	present	char_tracker_stage05	rachel	absent	0.3333		low	speaker_offscreen
12	23	66.25	67.77	Oh, there is no way.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_offscreen	Speaker agrees with available community-transcript mapping.	Oh there is no way.	Rachel	Rachel	present	char_tracker_stage05	phoebe	absent	0.0		low	speaker_offscreen
12	28	78.73	79.45	Oh, my God.	Phoebe	low	scene_context_inference	0.58	dialogue	True	False	Rachel | Phoebe	Rachel	Phoebe	True	two_sided_context_ambiguous | low_speaker_confidence	No direct transcript match; weak local context only.				present	char_tracker_stage05	phoebe|rachel	present			low	low_speaker_confidence
12	30	81.5	82.14	Oh, no.	Phoebe	high	scene_context_bridge	0.88	dialogue	True	False	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_offscreen	Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	rachel	absent			low	speaker_offscreen
12	31	82.14	83.58	And what if he marries her too?	Phoebe	high	scene_context_bridge	0.88	dialogue	True	False	Rachel | Phoebe	Phoebe	Phoebe	True	speaker_offscreen	Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	rachel	absent			low	speaker_offscreen
