scene_id	scene_desc	start	end	shot_ids
53	Chandlers hotel room. Chandler and Monica are lying in the bed together talking. There's an awkward air between them. They are both clutching the covers in from of them.	9.36	41.33	2
54	Joey enters his hotel room. The phone is ringing.	55.48	111.18	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
55	The plane. Rachel's telling her story to the passenger on her left. The one on her left is still wearing his headphones.	113.82	174.82	18,19,20,21,22,23,24,25,26
56	The guys hotel room. Joey's sitting on his bed, holding the note he wrote while talking to Phoebe. He's patting the note with a pen and staring off into space.	184.18	188.50	27
57	Chandler comes out of the bathroom in a robe.	191.14	211.68	28,29,30,31,32,33,34,35
58	The church where Ross and Emily are to be married. Judy, Andrea, and Monica enter together.	224.88	266.43	37,38,39,40,41,42,43,44,45,46
59	Ross and Chandler are standing next to the alter. Ross is practising for the wedding.	268.03	271.15	46,47,48
60	Joey's in the front entrance watching for Rachel. The bridesmaid he met at the rehearsal dinner come in.	276.11	291.29	50,51,52,53
61	Back in the chapel. The parents are still fighting over the bill. Ross is refereeing.	295.37	394.81	54,56,58,59,60,61,62,63,64,66,67,68,69,70,71,72,75,82
62	The front entrance. Joey and the bridesmaid are up against the wall kissing. Rachel comes in the door and walks by Joey unnoticed. She walks into the chapel and sees Ross and Emily kissing. She looks as though she wants to cry. Emily walks away and Ross turns and sees Rachel standing there.	395.21	449.69	82,83,84,85,86,88,92
63	Camera fades to one of the band members playing guitar at the wedding. The chapel is full of guest. A groomsmen escorts a bridesmaid down the isle. Joey is waiting with Mrs. Waltham to escort he down the isle. A cellular phone rings.	450.56	515.24	92,93,94,95,96,97,98,99,100,101,102,105,106,107,108
64	Chandler escorts Monica down the aisle.	522.36	537.50	110,111
65	They quickly take their places and Here Comes the Bride begins to play. Everyone seated looks back. Emily is being escorted up the aisle by her father. She kisses him on the cheek and takes her place by Ross's side.	563.27	618.51	117,119,120,121,122,123,124,125,127,128,129,130,131,136,140,141
66	Rachel looks all around as if all the eyes in the chapel were looking at her.	626.35	670.38	142,156
67	Closing Credits and Bloopers	670.38	718.79	156,158,159,160,161,162,167
