scene_id	scene_desc	start	end	shot_ids
1	Chandler and Joey's, Joey and Chandler are getting ready for the flight to London and Monica comes running in.	2.48	27.84	1,2,3,4,5,6,7
2	Cut to the girls' apartment, Monica is putting things into her purse as Phoebe and Rachel watch.	29.84	61.77	9,10,11,12,13,14
3	Cut to the guys' apartment.	64.25	74.41	16,18,19
4	Chandler glares at him. At first Joey doesn't know why, it takes him a little bit to figure it out.	79.69	80.81	21,22
6	Monica and Rachel's, continued from earlier, Monica is telling Phoebe where everything is.	93.54	183.16	24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,54,55,56
7	Chandler kneels down with his arms spread waiting for his hug.	183.40	195.72	56,57,58,59,60
8	"They all start out, Rachel gives each one a kiss, and says ""bye."" In the hall, Joey says..."	196.20	226.94	61,62,63,64,66,69,70
10	Street in front of the London Marriott, Joey and Chandler exit. Joey is carrying a video camera and is shooting Chandler.	229.34	294.67	70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
11	Another street, somewhere along the River Thames, Ross, Emily, and Monica are walking to where they're gonna get married. Emily is relating the troubles with the caterer.	294.67	373.35	86,87,88,89,90,91,92,93,94,95,96,97,98,99
12	Cut to inside.	373.91	445.70	99,100,101,102,103,104,105,106,108,109,110
14	Westminster Abbey, Joey and Chandler have successfully navigated the streets of London and are approaching the Abbey.	446.90	461.06	111,112,113,114,115,116
15	A bridal shop somewhere in London. Monica is trying on her red bridesmaid dress, and Emily is watching. A dressmaker is working on Monica's dress.	470.83	473.39	119
16	The dressmaker puts a pin in the dress, but accidentally pricks Monica with it.	473.87	524.62	119,120,122,123,124,125,126,127,128
17	Emily smiles a bit and looks uncomfortable.	527.01	529.49	129,130
18	Monica and Rachel's, Phoebe is trying to move off of the couch as Rachel enters.	535.09	653.72	131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,147,149,150,151,152,153,154,156,157,159
19	Rachel stares at her.	655.88	659.77	159,160
20	A park in London, Joey and Chandler walk up to a souvenir stand.	668.41	730.13	161,162,163,164,165,166,167,168,169,170,171,172,174,175,176
21	A man walks up to Joey and stares at Chandler and the flower stand. Joey turns around to introduce himself.	739.66	742.22	180
