scene_id	sentence_id	start	end	utterance	speaker	utterance_ct	speaker_ct	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	2.24	3.04	Oh, my God.	Phoebe	oh my god	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		low	low_speaker_confidence
1	2	3.04	5.16	I can't believe my little brother's married.	Phoebe	Oh my god, can't believe my little brother is married!	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
1	3	5.16	6.16	Finally.				present	char_tracker_stage05	phoebe	unknown			low	missing_speaker
1	4	8.64	9.36	You guys.	Phoebe	you guys	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		low	low_speaker_confidence
1	5	9.36	11.04	Why didn't you tell me you were eloping?	Phoebe	You guys, why didn't you tell me you were eloping?	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
1	6	11.2	12.84	Cause it just sort of happened, you know?	Frank Jr	Cause it just sort of happened	Frank Jr	present	char_tracker_stage05	phoebe	unobserved			medium	
1	7	12.84	13.76	We were at the courthouse.	Frank Jr	Cause it just sort of happened. Y'know, we were at the courthouse, and we were having lunch...	Frank Jr	absent	char_tracker_stage05		unobserved			medium	
1	8	13.76	14.52	We were having lunch.	Frank Jr	cause it just sort of happened y'know and we were having lunch	Frank Jr	present	char_tracker_stage05	phoebe	unobserved			low	low_speaker_confidence
1	9	14.52	16.239	Hey, wait, why were you at the courthouse?	Phoebe	Wait, wait. Why were you at the courthouse?	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
1	10	16.8	17.84	We were having lunch.				present	char_tracker_stage05	phoebe	unknown			low	missing_speaker
1	11	19.68	20.0	Yeah.				present	char_tracker_stage05	phoebe	unknown			low	missing_speaker
1	12	20.0	23.24	And then all of a sudden, we were like, hey, you know, we're here, we're having lunch.	Frank Jr	"We were having lunch. Yeah, and then, all of a sudden, we were like, ""We're here, we're having lunch, let's get married, right!"""	Frank Jr	present	char_tracker_stage05	phoebe	unobserved			medium	
1	13	23.24	24.08	Let's get married.	Frank Jr	we were having lunch yeah let's get married right	Frank Jr	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
1	14	24.08	24.48	Right.				absent	char_tracker_stage05		unknown			low	missing_speaker
1	15	25.52	27.92	A year and a half ago, I didn't even know I had a brother.	Phoebe	Wow, a year and a half ago I didn't even know I had a brother. Now I have a sister too!	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
1	16	28.0	28.87	Now I have a sister.	Phoebe	Now I have a sister too	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
1	17	29.02	29.66	Sister too.	Phoebe	too	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		low	low_speaker_confidence
1	18	33.18	33.74	Lord.				absent	char_tracker_stage05		unknown			low	missing_speaker
1	19	33.82	34.62	So great.				absent	char_tracker_stage05		unknown			low	missing_speaker
2	20	34.62	40.62	Oh, okay, okay.	Phoebe	Okay	Phoebe	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
2	21	42.22	42.78	Stop it.	Phoebe	Okay. Okay. Stop it. Don't!	Phoebe	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
2	22	42.78	43.18	Don't.	Phoebe	Don't	Phoebe	absent	char_tracker_stage05		absent	0.0000		medium	speaker_no_face
3	23	45.34	47.18	So I'm gonna get you a gift now.	Phoebe	So, ooh, I'm going to get you a gift now	Phoebe	partial	char_tracker_stage05		partial	0.3333		medium	partial_visual_presence
3	24	47.18	48.46	Is there anything you need?	Phoebe	So, ooh, I'm going to get you a gift now. Is there anything you need?	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
3	25	49.26	50.3	Oh, yeah.	Frank Jr	Uh, yeah.	Frank Jr	present	char_tracker_stage05	phoebe	unobserved			medium	
3	26	52.86	56.81	We've been trying to get pregnant pretty much ever since we got engaged.	Alice	We've been trying to get pregnant, uh, pretty much ever since we got engaged. We thought we'd get a jump on things. You know, no one's getting any younger. (laughs)	Alice	present	char_tracker_stage05	phoebe	unobserved			medium	
3	27	56.97	59.17	Thought we'd get a jump on things, you know?	Alice	We thought we'd get a jump on things	Alice	present	char_tracker_stage05	phoebe	unobserved			medium	
3	28	59.17	60.49	No one's getting any younger.	Alice	You know, no one's getting any younger	Alice	present	char_tracker_stage05	phoebe	unobserved			medium	
3	29	62.33	66.53	Because the thing is, we're not able to, you know, conceive.	Frank Jr	'cause the thing is, uh, we're not able to, you know, uh, conceive, you know.	Frank Jr	partial	char_tracker_stage05		unobserved			high	
3	30	66.53	67.05	You know?	Frank Jr	you know	Frank Jr	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
3	31	67.21	68.13	And we've tried everything.	Alice	We've tried everything	Alice	absent	char_tracker_stage05		unobserved			medium	
3	32	68.13	69.45	We've seen a bunch of doctors.	Alice	We've tried everything; we've seen a bunch of doctors.	Alice	absent	char_tracker_stage05		unobserved			high	
3	33	69.61	70.09	Yeah.				absent	char_tracker_stage05		unknown			low	missing_speaker
3	34	70.25	80.65	And they say that our only chance to have a baby is that if they take my sperm, her egg, and put it together in a dish and then put it into another girl.	Frank Jr	Yeah, and they say, they say that our only chance to have a baby is if they take my sperm, her egg, and put it together in a dish, and then put it into another girl. So we were wondering if you could be the girl that we could put it into.	Frank Jr	absent	char_tracker_stage05		unobserved			high	
3	35	80.65	83.21	So we were wondering if you could be the girl that we could put it.	Frank Jr	So we were wondering if you could be the girl that we could put it into	Frank Jr	absent	char_tracker_stage05		unobserved			medium	
4	36	88.63	89.99	That's a really nice gift.	Phoebe	That's a really nice gift	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
4	37	92.55	94.47	I was thinking of, like, a gravy boat.	Phoebe	That's a really nice gift. I was thinking of, like, a gravy boat.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		high	
4	38	96.39	96.87	We know.	Alice	know	Alice	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
4	39	96.87	97.15	We.	Alice	we know	Alice	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
4	40	97.15	98.87	We know it's a lot to ask.	Alice	We know-we know it's a lot to ask	Alice	absent	char_tracker_stage05		unobserved			medium	
4	41	99.43	101.27	We don't have anyone else to go to.	Alice	We don't have anyone else to go to	Alice	absent	char_tracker_stage05		unobserved			medium	
4	42	101.27	104.07	We could pay someone to do it, but we don't have that kind of money.	Alice	We know-we know it's a lot to ask.  We don't have anyone else to go to. We could pay someone to do it but we don't have that kind of money.	Alice	absent	char_tracker_stage05		unobserved			medium	
4	43	104.39	107.87	Plus, you know, your family and, you know, I don't know.	Frank Jr.	plus y'know you're family and y'know i don't know y'know	Frank Jr.	absent	char_tracker_stage05		unobserved			low	low_speaker_confidence
4	44	107.87	110.91	I just don't want my baby to grow into some chick I don't know.	Frank Jr.	Plus, y'know, you're family and, y'know. I don't know. I just don't want my baby to grow into some chick I don't know, y'know?	Frank Jr.	absent	char_tracker_stage05		unobserved			high	
4	45	110.91	114.74	You know, don't give us an answer yet.	Alice	don't give us an answer yet but	Alice	present	char_tracker_stage05	phoebe	unobserved			low	low_speaker_confidence
4	46	114.74	115.58	Think about it.	Alice	Don't give us an answer yet, but think about it	Alice	present	char_tracker_stage05	phoebe	unobserved			medium	
4	47	116.06	120.62	And if you say no, we will totally understand.	Alice	Don't give us an answer yet, but think about it.  And, umm, if you say no, we will  totally understand.	Alice	absent	char_tracker_stage05		unobserved			medium	
4	48	121.74	122.38	Okay?	Phoebe	okay	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		low	low_speaker_confidence
4	49	123.34	123.98	Okay.	Phoebe	Okay. Okay.	Phoebe	present	char_tracker_stage05	phoebe	present	1.0000		medium	
