scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
22	1	2.0	3.52	Not so fast, Wesley.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Rachel		Dr. Drake Remoray	False		Speaker agrees with available community-transcript mapping.	Not so fast Wesley! (Rachel does a silent clap.)	Dr. Drake Remoray	Dr. Drake Remoray	present	char_tracker_stage05	joey|rachel	unobserved			high	
22	2	5.52	6.16	Amore.	Dr. Drake Remoray	high	scene_context_bridge	0.88	dialogue	True	False	Dr. Drake Remoray | Rachel	Dr. Drake Remoray	Dr. Drake Remoray	False		Same speaker appears on both sides within the same scene.				present	char_tracker_stage05	joey|rachel	unobserved			high	
22	3	7.2	8.48	That's right, Wesley.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Rachel	Dr. Drake Remoray	Dr. Drake Remoray	False		Speaker agrees with available community-transcript mapping.	That's right Wesley	Dr. Drake Remoray	Dr. Drake Remoray	present	char_tracker_stage05	joey	unobserved			high	
22	4	9.28	17.44	I just stopped by to say that you're not a real doctor and that woman's brain is fine.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Rachel	Dr. Drake Remoray	Rachel	False		Speaker agrees with available community-transcript mapping.	That’s right Wesley! I just stopped by to say that, you’re not a real doctor! And that woman’s brain, is fine!	Dr. Drake Remoray	Dr. Drake Remoray	present	char_tracker_stage05	joey	unobserved			high	
22	5	17.52	18.48	Oh, thank God.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Rachel	Dr. Drake Remoray		False		Speaker agrees with available community-transcript mapping.	(very relived) Oh! Thank God!	Rachel	Rachel	present	char_tracker_stage05	joey|rachel	present	1.0		high	
23	6	28.11	28.35	Hope.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Hope		Dr. Drake Remoray	False		Speaker agrees with available community-transcript mapping.	Hope! Hope!	Dr. Drake Remoray	Dr. Drake Remoray	present	char_tracker_stage05	joey	unobserved			high	
23	7	29.47	29.87	Hope.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Hope	Dr. Drake Remoray	Hope	False		Speaker agrees with available community-transcript mapping.	hope	Dr. Drake Remoray	Dr. Drake Remoray	absent	char_tracker_stage05		unobserved			high	
23	8	31.31	31.87	Drake.	Hope	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Hope	Dr. Drake Remoray	Dr. Drake Remoray	False		Speaker agrees with available community-transcript mapping.	(sleepily) Drake!	Hope	Hope	absent	char_tracker_stage05		unobserved			high	
23	9	32.27	33.55	You're not dying, Hope.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Hope	Hope	Dr. Drake Remoray	False		Speaker agrees with available community-transcript mapping.	You’re not dying Hope, you’re gonna live a long, healthy life. With me.	Dr. Drake Remoray	Dr. Drake Remoray	present	char_tracker_stage05	joey	unobserved			high	
23	10	33.71	39.15	You're gonna live a long, healthy life with me, Drake.	Dr. Drake Remoray	high	community_transcript_match	1.0	dialogue	False	True	Dr. Drake Remoray | Hope	Dr. Drake Remoray	Dr. Drake Remoray	False		Speaker agrees with available community-transcript mapping.	you're gonna live a long healthy life with me	Dr. Drake Remoray	Dr. Drake Remoray	present	char_tracker_stage05	joey	unobserved			high	
23	11	44.35	44.91	Okay.	Dr. Drake Remoray	medium	scene_context_inference	0.68	dialogue	True	False	Dr. Drake Remoray | Hope	Dr. Drake Remoray		True	scene_end_short_utterance	Filled from previous same-scene context.				present	char_tracker_stage05	joey	unobserved			medium	
24	12	48.91	49.55	Okay.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel		Rachel	False		Speaker agrees with available community-transcript mapping.	Okay	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
24	13	53.94	54.66	Hi, Joey.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Hi, Joey	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
24	14	54.98	55.86	It's Rachel.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	It's Rachel	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
24	15	57.06	59.3	Um, I am free tomorrow night.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Okay! (She picks up the phone, Joey’s phone number, and starts to dial.) Here we go! Okay! (On phone.) Hi, Joey! It’s Rachel! Umm, I am free tomorrow night. Yeah, sure, sure I can bring some sandwiches.	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
24	16	62.02	62.94	Yeah, sure, sure.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel	Rachel	Rachel	False		Speaker agrees with available community-transcript mapping.	Yeah, sure, sure I can bring some sandwiches	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
24	17	62.94	64.18	I could bring some sandwiches.	Rachel	high	community_transcript_match	1.0	dialogue	False	True	Rachel	Rachel		False		Speaker agrees with available community-transcript mapping.	i can bring some sandwiches	Rachel	Rachel	present	char_tracker_stage05	rachel	present	1.0		high	
