scene_id	sentence_id	start	end	utterance	speaker	speaker_confidence	speaker_method	alignment_score	row_type	filled_from_missing	matched_to_ct	scene_speaker_set	prev_speaker_scene	next_speaker_scene	review_flag	review_reason	notes	utterance_ct	speaker_ct	speaker_original	visual_presence	visual_presence_source	visual_presence_chars	speaker_visual_presence	speaker_visual_ratio	visual_presence_note	annotation_confidence	annotation_review_reason
1	1	1.44	6.88	Okay, here's his diaper bag and his Mr. Winky.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan		Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Ok. Here's his diaper bag, and his uh, Mr. Winky, and uh...oh, him. Hi!	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	2	7.68	8.08	And.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Ross	Ross	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	Winky, and uh	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	3	9.04	10.72	Oh, him.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Ross	Carol	True	speaker_no_face	Speaker agrees with available community-transcript mapping.	oh, him	Ross	Ross	absent	char_tracker_stage05		absent	0.0		medium	speaker_no_face
1	4	12.56	13.72	So how'd everything go?	Carol	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	So how did everything go?	Carol	Carol	absent	char_tracker_stage05		unobserved			high	
1	5	13.72	14.4	Oh, great.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Carol	Ross	False		Speaker agrees with available community-transcript mapping.	Oh, great	Ross	Ross	present	char_tracker_stage05	ross	present	0.5		high	
1	6	14.48	14.88	Great.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Ross	Ross	False		Speaker agrees with available community-transcript mapping.	Great	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
1	7	14.88	20.08	There was a projectile throwing up incident, but he started it.	Ross	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Ross	Carol	False		Speaker agrees with available community-transcript mapping.	Oh, great. Great. There was a projectile, uh, throwing up incident, but he started it.	Ross	Ross	present	char_tracker_stage05	ross	present	1.0		high	
1	8	21.44	22.2	We've gotta go.	Carol	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Ross	Carol	False		Speaker agrees with available community-transcript mapping.	Well, we've gotta go.	Carol	Carol	absent	char_tracker_stage05		unobserved			high	
1	9	22.2	22.72	Okay.	Carol	high	scene_context_bridge	0.88	dialogue	True	False	Ross | Carol | Susan	Carol	Carol	False		Same speaker appears on both sides within the same scene.				absent	char_tracker_stage05		unobserved			high	
1	10	24.16	24.88	All right.	Carol	high	community_transcript_match	1.0	dialogue	False	True	Ross | Carol | Susan	Carol	Carol	False		Speaker agrees with available community-transcript mapping.	Oh, right	Carol	Carol	absent	char_tracker_stage05		unobserved			high	
